Date,Overall_Normal_Daily_Inflation,Overall_Weighted_Daily_Inflation,Overall_Normal_Weekly_Inflation,Overall_Weighted_Weekly_Inflation,Akıllı Saat_Daily_Inflation,Akıllı Saat_Weekly_Inflation,PC_Daily_Inflation,PC_Weekly_Inflation,Router_Daily_Inflation,Router_Weekly_Inflation,Ses_Daily_Inflation,Ses_Weekly_Inflation,Tablet_Daily_Inflation,Tablet_Weekly_Inflation,Telefon_Daily_Inflation,Telefon_Weekly_Inflation
2026-05-02,,,,,,,,,,,,,,,,
2026-05-03,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2026-05-04,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2026-05-05,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2026-05-06,0.0005661364828228876,0.00119232997970653,,,0.006661278432556816,,0.0,,0.0,,0.0,,0.0,,0.0,
2026-05-07,-0.0019313191378116379,-0.018369099007760403,,,-0.022586707369795622,,0.0,,0.0,,0.0,,0.0,,0.0,
2026-05-08,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2026-05-09,0.0,0.0,-0.0013662760452125555,-0.01719867105550088,0.0,-0.01607588528390369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-10,0.0,0.0,-0.0013662760452125555,-0.01719867105550088,0.0,-0.01607588528390369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11,0.0,0.0,-0.0013662760452125555,-0.01719867105550088,0.0,-0.01607588528390369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12,0.0,0.0,-0.0013662760452125555,-0.01719867105550088,0.0,-0.01607588528390369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-13,0.0,0.0,-0.0019313191378116379,-0.018369099007760403,0.0,-0.022586707369795622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-14,2.0001029252147973e-05,0.025588419279550134,2.0001029252147973e-05,0.025588419279550134,0.0,0.0,0.0,0.0,0.0,0.0,0.0005072556581198207,0.0005072556581198207,5.882629770859182e-06,5.882629770859182e-06,0.0,0.0
2026-05-15,-0.004053848227079437,-0.003943087058630557,-0.004033928278964094,0.021544434856007655,0.0077179299699405846,0.0077179299699405846,0.0,0.0,0.0,0.0,0.0016477450608842759,0.002155836547009349,0.0,5.882629770859182e-06,-0.010590175343046071,-0.010590175343046071
2026-05-16,0.00018628598642389527,0.00023752179262448436,-0.003848393756848978,0.02178707392142032,0.0,0.0077179299699405846,0.0,0.0,0.0,0.0,0.00493510339041614,0.007101579213677711,0.0,5.882629770859182e-06,0.0,-0.010590175343046071
2026-05-17,0.0,0.0,-0.003848393756848978,0.02178707392142032,0.0,0.0077179299699405846,0.0,0.0,0.0,0.0,0.0,0.007101579213677711,0.0,5.882629770859182e-06,0.0,-0.010590175343046071
2026-05-18,-0.0009756019974298535,-0.000791551298064963,-0.004820241253642776,0.020978277036711734,0.0,0.0077179299699405846,0.0,0.0,0.0,0.0,0.0,0.007101579213677711,-0.005882595165683346,-0.005876747141041916,0.0,-0.010590175343046071
2026-05-19,-0.00018643317499611456,-0.00023765350435944743,-0.00500577577575767,0.02073563797129907,0.0,0.0077179299699405846,0.0,0.0,0.0,0.0,-0.00491086775033156,0.002155836547009349,0.0,-0.005876747141041916,0.0,-0.010590175343046071
2026-05-20,0.0,0.0,-0.00500577577575767,0.02073563797129907,0.0,0.0077179299699405846,0.0,0.0,0.0,0.0,0.0,0.002155836547009349,0.0,-0.005876747141041916,0.0,-0.010590175343046071
2026-05-21,0.0,0.0,-0.0050256762863115645,-0.004731704470356646,0.0,0.0077179299699405846,0.0,0.0,0.0,0.0,0.0,0.0016477450608842759,0.0,-0.005882595165683346,0.0,-0.010590175343046071
2026-05-22,0.0,0.0,-0.0009757837384100077,-0.0007917393087482072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005882595165683346,0.0,0.0
2026-05-23,0.0,0.0,-0.0011618532878481247,-0.001029016687484563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00491086775033156,0.0,-0.005882595165683346,0.0,0.0
2026-05-24,0.0,0.0,-0.0011618532878481247,-0.001029016687484563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00491086775033156,0.0,-0.005882595165683346,0.0,0.0
2026-05-25,0.0,0.0,-0.00018643317499611456,-0.00023765350435944743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00491086775033156,0.0,0.0,0.0,0.0
2026-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
