Product Title,Category,Monthly Inflation(%)
% 100 PAMUK BASKILI TİŞÖRT,Men,0.0
%100 KETEN GÖMLEK,Men,0.0
%100 KETEN GÖMLEK ERKEK ÇOCUK,Kids-Baby,0.0
%100 KETEN PANTOLON,Men,0.0
%100 KETEN PANTOLON ERKEK ÇOCUK,Kids-Baby,0.0
%100 KETEN RELAX FİT PANTOLON,Men,0.0
%100 PAMUK %100 PAMUK LOOSE FIT ÇİZGİLİ SWEATSHİRT,Women,-12.500156251953149
%100 PAMUK 90'S WIDE LEG JEAN PANTOLON,Women,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL JEAN PANTOLON,Women,-7.163805530457856
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL KESİK UÇ PAÇA UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK A KESİM NORMAL BEL MÜSLİN ŞORT,Women,0.0
%100 PAMUK ASİMETRİK KARELİ FLANEL ETEK,Women,0.0
%100 PAMUK ATLET,Women,0.0
%100 PAMUK AVATAR THE LAST AIRBENDER BASKILI TİŞÖRT,Men,0.0
%100 PAMUK AĞIR KUMAŞ TİŞÖRT,Men,0.0
%100 PAMUK BAGGY FIT NORMAL BEL GABARDİN PANTOLON,Women,-40.000307694674575
%100 PAMUK BAGGY FIT YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK BAGGY FİT PANTOLON,Men,-21.052816252774146
%100 PAMUK BARREL FIT NORMAL BEL JEAN PANTOLON,Women,0.0
%100 PAMUK BARREL FIT YÜKSEK BEL JEAN PANTOLON,Women,-13.333435898224852
%100 PAMUK BASIC GÖMLEK,Women,0.0
%100 PAMUK BASIC PREMIUM TİŞÖRT,Women,0.0
%100 PAMUK BASKILI GÖMLEK,Men,0.0
%100 PAMUK BASKILI KISA KOLLU PİJAMA ÜSTÜ,Women,-40.00080001600032
%100 PAMUK BASKILI POPLİN UZUN KOLLU ELBİSE,Women,0.0
%100 PAMUK BASKILI TİŞÖRT,Men,-10.9314042238946
%100 PAMUK BASİC GÖMLEK,Men,-14.63432480883912
%100 PAMUK BASİC TİŞÖRT,Men,26.86635332538288
%100 PAMUK BOXY FIT BASKILI TİŞÖRT,Men,20.4306347690693
%100 PAMUK BOXY FIT PİKE TİŞÖRT,Men,0.0
%100 PAMUK BOXY FIT SLOGAN DESENLİ ATLET,Men,0.0
%100 PAMUK BOXY FIT TİŞÖRT,Men,15.000300006000119
%100 PAMUK BOXY FIT ÇİZGİLİ TİŞÖRT,Men,0.0
%100 PAMUK BOXY FİT BASKILI TİŞÖRT,Men,-0.6242829037863818
%100 PAMUK BOXY FİT GÖMLEK,Men,-7.692386588580384
%100 PAMUK BOXY FİT SIRT BASKILI TİŞÖRT,Men,0.0
%100 PAMUK BOXY FİT TİŞÖRT,Men,-8.772114500656158
%100 PAMUK BÜYÜK BEDEN BOXY FIT BASKILI T-SHIRT,Men,0.0
%100 PAMUK BÜYÜK BEDEN BOXY FIT T-SHIRT,Men,0.0
%100 PAMUK BÜYÜK BEDEN GÖMLEK,Men,0.0
%100 PAMUK BÜYÜK BEDEN POLO TİŞÖRT,Men,4.761972790087483
%100 PAMUK BÜYÜK BEDEN T-SHIRT,Men,0.0
%100 PAMUK BÜYÜK BEDEN TİŞÖRT,Men,-6.000120002400059
