kategori,isim,fiyat,link,resim
Et Ve Tavuk,Akdeniz Toros Piliç Bütün Poşetli Kuru Yolum Kg,"₺239,99",https://ardenmarket.com.tr/toros-pilic-butun-posetli-kg-kuru-yolum.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/b/u/butun_pilic_posetli.jpg
Et Ve Tavuk,Akdeniz Toros Piliç Fırınlık Üst But Kuru Yolum Kg,"₺199,99",https://ardenmarket.com.tr/pilic-firinlik-ust-but-kuru-yolum-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pilic_f_r_nl_k_ust_but_tabakl_.jpg
Et Ve Tavuk,Akdeniz Toros Piliç Bonfile Kuru Yolum Kg,"₺419,99",https://ardenmarket.com.tr/toros-pilic-bonfile-kg-kuru-yolum.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pilic_bonfile.jpg
Et Ve Tavuk,Dana Kıyma Köftelik Kg,"₺1.209,99",https://ardenmarket.com.tr/dana-kiyma-koftelik-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/d/a/dana_koftelik_k_yma_1.jpg
Et Ve Tavuk,Dana Döş Kıyma Yemeklik Az Yağlı Kg,"₺1.149,99",https://ardenmarket.com.tr/dana-dos-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/d/a/dana_yemeklik_k_yma_1.jpg
Et Ve Tavuk,Akdeniz Toros Piliç Baget Kuru Yolum Kg,"₺279,99",https://ardenmarket.com.tr/catalog/product/view/id/276/s/toros-pilic-baget-kg-kuru-yolum/category/93/,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/p/i/pilic_baget.jpg
Et Ve Tavuk,Akdeniz Toros Donuk Piliç Eko Kanat Kg,"₺269,99",https://ardenmarket.com.tr/akdeniz-toros-donuk-pirinc-eko-kanat-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/w/h/whatsapp_image_2026-03-25_at_17.42.17.jpeg
Et Ve Tavuk,Kıvırcık Kuzu Küşleme kg,"₺1.799,99",https://ardenmarket.com.tr/kuzu-kusleme-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/k/u/kuzu_kusleme.png
Et Ve Tavuk,Dana Tas Kebabı Kg,"₺1.279,99",https://ardenmarket.com.tr/dana-tas-kebabi-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/w/h/whatsapp_image_2025-04-10_at_09.35.21.jpeg
Et Ve Tavuk,Dana Stragonof (Parmak Sote) Kg,"₺1.279,99",https://ardenmarket.com.tr/dana-straganof-parmak-sote-kg.html,https://ardenmarket.com.tr/media/catalog/product/cache/af204314a7b8c0f9bb1d3072a30a2454/w/h/whatsapp_image_2025-04-10_at_09.24.00.jpeg
