0,Daily Inflation(%)
1 Tb 990 Evo Plus Samsung Nvme M.2 Mz-v9s1t0bw P,0.0
1 Tb 990 Pro Samsung Nvme M.2 Mz-v9p1t0bw Pcie 7,0.0
1 Tb Bory Sata3 R500-c1t Ssd 550/510 Mbs (3 Yil,0.0
10 Tb Seagate 3.5 Exos Sata 7200rpm 256mb St1000,0.0
10 Tb Seagate 3.5 Skyhawk Ai Sata 7200rpm 256mb,0.0
12 Tb Seagate 3.5 Ironwolf Sata3 7200rpm 256mb S,0.0
128 Gb Bory Sata3 R500-c128g Ssd 550/510 Mbs (3,0.0
2 Tb 990 Evo Plus Samsung Nvme M.2 Mz-v9s2t0bw P,0.0
2 Tb Seagate 3.5 Ironwolf Sata3 5400rpm 256mb St,0.0
2 Tb Wd 3.5 Purple Sata3 5400rpm 64mb 7/24 Guven,0.0
240 Gb Kingston A400 Sata3 2.5 500/350mbs Sa400s,0.0
27 Cube Pa-27v165f Va 1ms 165hz 2xhdmi 2xdp 2k Q,0.0
27 Cube Pa-27v240f05-2k Va 0.5ms 240hz 2xhdmi 2x,0.0
4 Tb Seagate 3.5 Skyhawk Sata 5400rpm 256mb 7/24,0.0
8 Tb Seagate 3.5 Skyhawk Ai Sata 7200rpm 256mb 7,0.0
8 Tb Wd 3.5 Purple Sata3 5640rpm 256mb 7/24 Guve,0.0
A4 TECH F1010 Q Türkçe USB Multimedya Gri 1600dp,0.0
A4 TECH FG10 Nano Alıcılı Kablosuz 2000dpi Gri M,0.0
A4 TECH FG1010 Q Türkçe Kablosuz Gri 2000dpi Kla,0.0
A4 TECH KR-9276 Q Türkçe USB Standart Siyah Klav,0.0
A4 TECH OP-620D USB Siyah Mouse,0.0
AMD Ryzen 5 5500 6C 3.6GHz ~ 4.2GHz 19mb AM4 İşl,0.0
AMD Ryzen 5 8400F (6 Çekirdek) Up to 4.7 GHz 16m,0.0
AMD Ryzen 7 7800X3D 104mb AM5 İşlemci,0.0
ARGOX IX4-240/250 Termal Kafa,0.0
ARGOX IX4-250 Thermal + Thermal Transfer Seri +,0.0
ASUS PRIME A520M-R A520 DDR4 (Vga Yok) GLan mATX,0.0
ASUS PRIME A620M-K A620 DDR5 Vga GLan mATX HDMI,0.0
ASUS PRIME H610M-K ARGB H610 DDR5 Vga GLan mATX,0.0
ASUS PRIME Z790-P WIFI Z790 DDR5 (Vga Yok) GLan,0.0
AXLE AX-G210/1GD3P4CDIL 1GB Geforce G210 DDR3 64,0.0
AXLE AX-GT730/2GD3P8CDIL 2GB Geforce GT730 DDR3,0.0
AXLE AX-GT730/4GD3P8CDIL 4GB Geforce GT730 DDR3,0.0
Acer Aspire Lite AL15-71P-51AR NX.J7MEY.001 i5-1,0.0
Acer Aspire Lite AL16-52P-55S2 NX.J23EY.001 i5-1,0.0
Acer Nitro V15 ANV15-52 NH.QZ7EY.001 i5-13420H R,0.0
