Date,Overall_Normal_Daily_Inflation,Overall_Weighted_Daily_Inflation,Overall_Normal_Weekly_Inflation,Overall_Weighted_Weekly_Inflation,alarm_Daily_Inflation,alarm_Weekly_Inflation,bahce-ve-balkon_Daily_Inflation,bahce-ve-balkon_Weekly_Inflation,banyo_Daily_Inflation,banyo_Weekly_Inflation,beyaz-esya_Daily_Inflation,beyaz-esya_Weekly_Inflation,dekorasyon-ve-ev-gerecleri_Daily_Inflation,dekorasyon-ve-ev-gerecleri_Weekly_Inflation,elektrik-ve-aydinlatma_Daily_Inflation,elektrik-ve-aydinlatma_Weekly_Inflation,elektrikli-el-aletleri_Daily_Inflation,elektrikli-el-aletleri_Weekly_Inflation,hirdavat-el-aletleri-ve-oto_Daily_Inflation,hirdavat-el-aletleri-ve-oto_Weekly_Inflation,hobi-boyalari_Daily_Inflation,hobi-boyalari_Weekly_Inflation,insaat-malzemeleri_Daily_Inflation,insaat-malzemeleri_Weekly_Inflation,isitma-ve-sogutma_Daily_Inflation,isitma-ve-sogutma_Weekly_Inflation,kamp-kapcilik-malzemeleri_Daily_Inflation,kamp-kapcilik-malzemeleri_Weekly_Inflation,kisisel-bakim-setleri_Daily_Inflation,kisisel-bakim-setleri_Weekly_Inflation,mobilya_Daily_Inflation,mobilya_Weekly_Inflation,mutfak_Daily_Inflation,mutfak_Weekly_Inflation,temizlik_Daily_Inflation,temizlik_Weekly_Inflation
2026-04-05,0.0,0.0,0.011454142878714269,0.01949414580049491,0.0,0.0,0.0,0.0014099222718102489,0.0,0.07643256369790952,0.0,0.0,0.0,0.0,0.0,0.028375462680215513,0.0,-0.0009601306617667005,0.0,-0.00018447445028857423,0.0,0.0,0.0,0.01021150292173445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09754604855711246,0.0,0.0
2026-04-06,0.0,0.0,0.011454142878714269,0.01949414580049491,0.0,0.0,0.0,0.0014099222718102489,0.0,0.07643256369790952,0.0,0.0,0.0,0.0,0.0,0.028375462680215513,0.0,-0.0009601306617667005,0.0,-0.00018447445028857423,0.0,0.0,0.0,0.01021150292173445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09754604855711246,0.0,0.0
2026-04-07,0.0,0.0,0.011454142878714269,0.01949414580049491,0.0,0.0,0.0,0.0014099222718102489,0.0,0.07643256369790952,0.0,0.0,0.0,0.0,0.0,0.028375462680215513,0.0,-0.0009601306617667005,0.0,-0.00018447445028857423,0.0,0.0,0.0,0.01021150292173445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09754604855711246,0.0,0.0
2026-04-08,0.0,0.0,0.011454142878714269,0.01949414580049491,0.0,0.0,0.0,0.0014099222718102489,0.0,0.07643256369790952,0.0,0.0,0.0,0.0,0.0,0.028375462680215513,0.0,-0.0009601306617667005,0.0,-0.00018447445028857423,0.0,0.0,0.0,0.01021150292173445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09754604855711246,0.0,0.0
2026-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-16,0.0069461309570242324,0.006829414105358422,0.0069461309570242324,0.006829414105358422,0.0,0.0,0.09716454051934797,0.09716454051934797,0.005993597331751088,0.005993597331751088,0.0,0.0,-0.004786965283009925,-0.004786965283009925,0.0030789180194543686,0.0030789180194543686,0.0,0.0,0.004559435540486545,0.004559435540486545,0.0,0.0,0.006568567550669702,0.006568567550669702,0.007688064361618174,0.007688064361618174,0.0,0.0,0.0,0.0,0.0,0.0,0.025398710836227023,0.025398710836227023,0.0,0.0
2026-04-17,0.0,0.0,0.0069461309570242324,0.006829414105358422,0.0,0.0,0.0,0.09716454051934797,0.0,0.005993597331751088,0.0,0.0,0.0,-0.004786965283009925,0.0,0.0030789180194543686,0.0,0.0,0.0,0.004559435540486545,0.0,0.0,0.0,0.006568567550669702,0.0,0.007688064361618174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025398710836227023,0.0,0.0
2026-04-18,0.0,0.0,0.0069461309570242324,0.006829414105358422,0.0,0.0,0.0,0.09716454051934797,0.0,0.005993597331751088,0.0,0.0,0.0,-0.004786965283009925,0.0,0.0030789180194543686,0.0,0.0,0.0,0.004559435540486545,0.0,0.0,0.0,0.006568567550669702,0.0,0.007688064361618174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025398710836227023,0.0,0.0
2026-04-19,0.0,0.0,0.0069461309570242324,0.006829414105358422,0.0,0.0,0.0,0.09716454051934797,0.0,0.005993597331751088,0.0,0.0,0.0,-0.004786965283009925,0.0,0.0030789180194543686,0.0,0.0,0.0,0.004559435540486545,0.0,0.0,0.0,0.006568567550669702,0.0,0.007688064361618174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025398710836227023,0.0,0.0
2026-04-20,0.0,0.0,0.0069461309570242324,0.006829414105358422,0.0,0.0,0.0,0.09716454051934797,0.0,0.005993597331751088,0.0,0.0,0.0,-0.004786965283009925,0.0,0.0030789180194543686,0.0,0.0,0.0,0.004559435540486545,0.0,0.0,0.0,0.006568567550669702,0.0,0.007688064361618174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025398710836227023,0.0,0.0
2026-04-21,0.0,0.0,0.0069461309570242324,0.006829414105358422,0.0,0.0,0.0,0.09716454051934797,0.0,0.005993597331751088,0.0,0.0,0.0,-0.004786965283009925,0.0,0.0030789180194543686,0.0,0.0,0.0,0.004559435540486545,0.0,0.0,0.0,0.006568567550669702,0.0,0.007688064361618174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025398710836227023,0.0,0.0
2026-04-22,0.0,0.0,0.0069461309570242324,0.006829414105358422,0.0,0.0,0.0,0.09716454051934797,0.0,0.005993597331751088,0.0,0.0,0.0,-0.004786965283009925,0.0,0.0030789180194543686,0.0,0.0,0.0,0.004559435540486545,0.0,0.0,0.0,0.006568567550669702,0.0,0.007688064361618174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025398710836227023,0.0,0.0
2026-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
