Location,Rooms,Daily Inflation(%)
Aksu,1+1,0.38944580106566506
Aksu,1.5+1,0.0
Aksu,2+1,0.03535046783836508
Aksu,3+1,-0.2374721333721116
Aksu,4+1,1.610541727672035
Aksu,5+1,-24.10611303344867
Aksu,7+1,0.0
Aksu,Stüdyo (1+0),0.0
Aksu/Köyler,1+1,3.63302752293578
Aksu/Köyler,2+1,1.2345679012345747
Aksu/Köyler,3+1,0.0
Aksu/Köyler,3.5+1,0.0
Aksu/Köyler,4+1,0.0
Aksu/Köyler,4+2,0.0
Aksu/Köyler,6+1,0.0
Aksu/Köyler,6+2,0.0
Aksu/Köyler,8+2,0.0
Aksu/Pınarlı,1+1,0.0
Aksu/Çalkaya,1+1,0.0
Aksu/Çalkaya,2+1,0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,2.9656344286151968
Alanya,2+0,-21.311475409836063
Alanya,2+1,0.5156030472693338
Alanya,2+2,0.0
Alanya,2.5+1,0.0
Alanya,3+1,-1.0681262226379482
Alanya,3+2,0.0
Alanya,3.5+1,12.5
Alanya,4+1,0.7550208889112687
Alanya,4+2,0.0
Alanya,4.5+2,0.0
Alanya,5+1,0.0
Alanya,6+1,0.0
Alanya,Stüdyo (1+0),0.0
Alanya/Beldeler,1+1,1.101577716775875
Alanya/Beldeler,2+1,-0.7186803790017836
Alanya/Beldeler,2.5+1,0.0
Alanya/Beldeler,3+1,0.028509754408831356
Alanya/Beldeler,3+2,0.0
Alanya/Beldeler,3.5+1,0.0
Alanya/Beldeler,4+1,1.3746958637469673
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,0.0
Alanya/Beldeler,Stüdyo (1+0),-12.880098022899352
Alanya/Demirtaş,1+1,0.0
Alanya/Demirtaş,2+1,0.0
Alanya/Köyler,1+1,0.0
Alanya/Köyler,1.5+1,0.0
Alanya/Köyler,2+1,0.0
Alanya/Köyler,3+1,0.0
Alanya/İncekum (Yeşilköy),1+1,0.0
Alanya/İncekum (Yeşilköy),2+1,0.0
Alanya/İncekum (Yeşilköy),3+1,0.0
Alanya/İncekum (Yeşilköy),4+1,0.0
Demre/Kale(Demre),1+1,-42.857142857142854
