Location,Rooms,Daily Inflation(%)
Aksu,1+1,-1.0693331476541865
Aksu,1.5+1,0.0
Aksu,2+1,-0.36410803650278767
Aksu,3+1,-0.19553072625697673
Aksu,4+1,6.94844700608389
Aksu,5+1,31.76291793313069
Aksu,7+1,0.0
Aksu,Stüdyo (1+0),0.0
Aksu/Köyler,1+1,-1.8032251035083906
Aksu/Köyler,2+1,-0.9562428130484887
Aksu/Köyler,3+1,-2.1739130434782665
Aksu/Köyler,3.5+1,0.0
Aksu/Köyler,4+1,0.0
Aksu/Köyler,4+2,0.0
Aksu/Köyler,6+1,0.0
Aksu/Köyler,6+2,0.0
Aksu/Köyler,8+2,0.0
Aksu/Pınarlı,1+1,0.0
Aksu/Pınarlı,2+1,14.285714285714285
Aksu/Pınarlı,3+1,0.0
Aksu/Çalkaya,1+1,0.0
Aksu/Çalkaya,2+1,0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,0.5472696833924446
Alanya,2+0,0.0
Alanya,2+1,-0.7053807866930084
Alanya,2+2,0.0
Alanya,2.5+1,0.0
Alanya,3+1,0.5456653969034089
Alanya,3+2,0.0
Alanya,3.5+1,0.0
Alanya,4+1,-2.6783990364946613
Alanya,4+2,0.0
Alanya,4.5+2,0.0
Alanya,5+1,0.0
Alanya,6+1,0.0
Alanya,Stüdyo (1+0),60.0
Alanya/Beldeler,1+1,-1.5375434370237255
Alanya/Beldeler,2+1,0.3837849612417734
Alanya/Beldeler,2.5+1,0.0
Alanya/Beldeler,3+1,5.353349383939955
Alanya/Beldeler,3+2,0.0
Alanya/Beldeler,3.5+1,0.0
Alanya/Beldeler,4+1,-2.4440977639105506
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,0.0
Alanya/Beldeler,Stüdyo (1+0),-11.975891239256189
Alanya/Demirtaş,1+1,25.581395348837212
Alanya/Demirtaş,2+1,0.0
Alanya/Köyler,1+1,0.0
Alanya/Köyler,1.5+1,0.0
Alanya/Köyler,2+1,0.0
Alanya/Köyler,3+1,0.0
Alanya/Köyler,4+1,0.0
Alanya/İncekum (Yeşilköy),1+1,0.0
Alanya/İncekum (Yeşilköy),2+1,0.0
Alanya/İncekum (Yeşilköy),3+1,9.030837004405285
Alanya/İncekum (Yeşilköy),4+1,0.0
Demre/Kale(Demre),1+1,0.0
Demre/Kale(Demre),2+0,0.0
Demre/Kale(Demre),2+1,0.0
Demre/Kale(Demre),3+0,0.0
Demre/Kale(Demre),3+1,0.0
Demre/Kale(Demre),4+1,0.0
Demre/Kale(Demre),5+2,0.0
Demre/Köyler,1+1,0.0
Demre/Köyler,2+1,0.0
Döşemealtı/Düzlerçamı,5+1,0.0
Döşemealtı/Köyler,0,0.0
Döşemealtı/Köyler,2+1,0.0
Döşemealtı/Köyler,3+1,0.0
Döşemealtı/Merkez,1,0.0
Döşemealtı/Merkez,1+1,-1.5304115193957128
Döşemealtı/Merkez,2+0,0.0
Döşemealtı/Merkez,2+1,-2.2963306853743277
Döşemealtı/Merkez,3+1,-0.5518161421381315
Döşemealtı/Merkez,4+1,-4.547886570358478
Döşemealtı/Merkez,5+1,0.0
Döşemealtı/Merkez,5+2,0.0
Döşemealtı/Merkez,6+1,0.0
Döşemealtı/Merkez,7+1,0.0
Döşemealtı/Merkez,8+1,0.0
