Product Title,Daily Inflation(%)
! ANL 4466 SARI MASKELEME BANTI 18X35 (180190015031.Y),0.0
! Apel PF212 Polüretan Pipetli Köpük ( 600 gr ) (APEL.212),0.0
! Aquanil Napoli 85 cm Dorado-Antrasit Beyaz Lavabolu Takım Banyo Dolabı (41400001049),0.0
! Eraks 192 mm Nadir 25 Mat Siyah Kulp (6029 064 192),0.0
! JUMBO AYAK 12 CM KREM (LİZ.012),0.0
! JUMBO AYAK 5 CM KREM (LİZ.015),0.0
! JUMBO AYAK 8 CM KREM (LİZ.005),0.0
! KULP 0160 MM KROM (SY6875 0160 CR),0.0
! Natura 80 Cm Antrasit Alt-Üst Modül Takım ( Lavabosuz ) (10000110326),0.0
! Natura 80 Cm Bordo Alt-Üst Modül Takım ( Lavabosuz ) (10000110327),0.0
! Natura 80 Cm Yeşil Alt-Üst Modül Takım ( Lavabosuz ) (10000110324),0.0
! Natura Boy Dolabı Antrasit (10000110328),0.0
! Natura Boy Dolabı Bordo (10000110332),0.0
! Natura Boy Dolabı Mavi (10000110331),0.0
! Natura Boy Dolabı Yeşil (10000110330),0.0
! SYSTEM PLUS SY4025 0160 AL6 KULP (SY4025 0160 AL6),0.0
! Serel Rita 52 cm Kanalsız Asma Klozet (RT26ADS110H),0.0
! VALTEMO Maxima Royal Altın Yağmur Tepe Duşlu Duş Seti (VS-2693),0.0
"""Makel Makel """"I"""" Tipi Üçlü Topraklı Golyat"" (MAKEL.10033)",0.0
(TEŞHİRDİR.)Einhell GE-CM 36/36 Li Kit Çift Akülü 4 Ah Çim Biçme Makinası (EİNHEL.3413230),0.0
"05002 MMSS Komple Plastik Tekerlek, Metal Tablalı, Siyah (05002MMS)",0.0
10 mm Galveniz Zincir (142.12.GZ10),0.0
10 mm Lastik Halat (138.05.LH10),0.0
10 mm İskota İpek Örme Halat (138.01.OH10),0.0
12 mm Galveniz Zincir (142.12.GZ12),0.0
14 mm İskota İpek Örme Halat (138.01.OH14),0.0
16 cm 600 Gr. 23 Micron Streç Film (EK.STR.016),0.0
160-192 MM KALE KULP SİYAH (ZMKLSY0160),0.0
165096 MP24 KULP (A165096124),0.0
17 Micron 150 Gr. Streç Film + Masura (KSP.1021),0.0
173L6130 CLIP menteşe tabanı 3 mm yüksek (kör kapa (BLUM.1867833),0.0
179096 MP08 ÇEBİ KULP (A179096108),0.0
19322 KULP PROFİLİ (3mt MAT) CAN-5309 (CAN-5309*3(MBE)),0.0
2 Kapak 8 Raflı Dolap Beyaz (TVL-11836),0.0
2 mm 50 m² Parke Altı Şilte (PAR-ŞİLTE),0.0
"2,5 Kg Başsız Tel Çivi (1030TH)",0.0
"2,5 Metre Küvet Çıtası (ET-NPR066970)",0.0
20 Numara Bisküvi Kavela (1000 Adet) (HDKM.20),0.0
20F8001 L AVENTOS HF güç ünitesi kapağı Sol Gri (BLUM.6844408),0.0
20L3900.06 R+L AVENTOS HL Hareket Kolu Sağ+Sol (K (BLUM.6109280),0.0
20S3500.06 R+L AVENTOS HS hareket kolu Sağ/Sol + S (BLUM.2808088),0.0
"22.8001 AVENTOS HF/HS/HL top güç ünitesi kapağı, Sağ, Gri (BLUM.8843517)",0.0
"22.8001 AVENTOS HF/HS/HL top güç ünitesi kapağı, Sol, Gri (BLUM.2060947)",0.0
225 cm Üçlü Perde Rayı Korniş (ET-NRY020521),0.0
22F2501 AVENTOS HF top güç ünitesi (BLUM.2608127),0.0
"22F3501 AVENTOS HF top teleskopik kol, (h=600-910mm) (BLUM.3048304)",0.0
250 cm İkili Perde Rayı Korniş (ET-NRY019471),0.0
256192-MP08 KULP (A256192108),0.0
263192-MP02 KULP (A263192102),0.0
293128-MP10 PC01 KULP (A293128110201),0.0
2x40A(300mA)KAÇAK AKIM RÖLESİ (LEGRAND.403187),0.0
3 Kapak 2 Çekmeceli Gardırop Krem-Sedef (TVL-11812),0.0
3 mm 25 m² Alttan Isıtmalı Parke Şiltesi (10000110085),0.0
3 mm Galvaniz Zincir (142.12.GZ03),0.0
300 cm Üçlü Perde Rayı Korniş (ET-NRY020613),0.0
300 cm İkili Perde Rayı Korniş (ET-NRY019532),0.0
304 Kalite Körüklü Sifon (ET-PSF035501),0.0
333160 MP14 KULP (A333160114),0.0
344064 MP14 KULP (A344064114),0.0
350 cm Üçlü Perde Rayı Korniş (ET-NRY020675),0.0
350 cm İkili Perde Rayı Korniş (ET-NRY019594),0.0
361025 MP10 KULP (A361025110),0.0
361128 MP10 KULP (A361128110),0.0
363016 MP 24 (A363016124),0.0
363016 MP02 (A363016102),0.0
"3M Kırmızı 0,13x19 mm 10 YDS İzolebant (BANT-3M.10.K)",0.0
"3M Siyah 0,13x19 mm İzolebant (BANT-3M.10.S)",0.0
4 mm Galveniz Zincir (142.12.GZ04),0.0
4 Çekmeceli Suntalam Şifonyer Krem-Sedef (TVL-11829),0.0
400 cm Dörtlü Perde Rayı Korniş (ET-NRY021634),0.0
400 cm Üçlü Perde Rayı Korniş (ET-NRY020736),0.0
42.0720 DOLAP BAĞLANTI VİDASI 6X26MM (BLUM.4340601),0.0
45 Derece Üçlü Dönüş Korniş (ET-NRA004859),0.0
45 Derece İkili Dönüş Korniş (ET-NRA004583),0.0
450 cm Üçlü Perde Rayı Korniş (ET-NRY020798),0.0
477025 MP66 KULP (A477025166),0.0
479 032 ST04 ST02 KULP (C479032504502),0.0
488 025 ST09 KULP (C488025509509),0.0
5 mm 1 m² Parke Altı Zebra Kapron Levha (10000110086),0.0
5 mm Galveniz Zincir (142.12.GZ05),0.0
"5,5X50 M.UÇLU ÇATI VİDASI (ÇV5550)",0.0
500 cm Üçlü Perde Rayı Korniş (ET-NRY020859),0.0
500 cm İkili Perde Rayı Korniş (ET-NRY019778),0.0
500020 MP02 S-CUBE KARE ROZETLİ WC IQ CLİCK (A500131102IQ),0.0
550H3500.03 TANDEM 35 cm (BLUM.6381836),0.0
550H4000.03 TANDEM 40 cm (BLUM.7758857),0.0
550H4500.03 TANDEM 45 cm (BLUM.6646588),0.0
550H5000.03 TANDEM 50 cm (BLUM.8760688),0.0
555 2 Anahtarlı Tek Kapak İçin Cam Kilidi (555-238),0.0
555 Anahtarlı Kare Tabanlı Çekmece Kilidi (555-138B),0.0
555 L Tipi Çekmece Kilit Karşılığı (555-CKK),0.0
555 Zamak 70 cm İki Katlanır Anahtar Merkezi Keson Kilidi (555-288-16-70-K),0.0
"5x22 2,5 Kg Cam Çivisi (016820)",0.0
6 mm Galveniz Zincir (142.12.GZ06),0.0
6 mm Lastik Halat (138.05.LH06),0.0
6 mm İskota İpek Örme Halat (138.01.OH06),0.0
7 mm Galveniz Zincir (142.12.GZ07),0.0
8 mm Galveniz Zincir (142.12.GZ08),0.0
8 mm Lastik Halat (138.05.LH08),0.0
8 mm İskota İpek Örme Halat (138.01.OH08),0.0
909 096 MP02 KULP (A909096102),0.0
90°AĞIR İSVEÇ BORU ANAHTARI 2 (ING-HPW04021),0.0
913 096 MP02 KULP (A913096102),0.0
913 096 MP08 KULP (A913096108),0.0
A 281032 MP08 (A281032108),0.0
A 356096 MP32 (A356096132),0.0
A.O. Smith DF600 Membranlı ve Tanksız Su Arıtma Cihazı (A.O.DF600),0.0
A.O. Smith Daisy Su Arıtma Cihazı (A.O.D01),0.0
A.O. Smith Frezya 300S Sebilli Su Arıtma Cihazı (A.O.300S),0.0
A.O. Smith Frezya 300TU Ters Osmoz Arıtma Sistemli Su Sebili (A.O.300TU),0.0
A.O. Smith Frezya 600S Sebilli Su Arıtma Cihazı (A.O.600S),0.0
A.O. Smith LTS 75 LX Motorsuz Su Arıtma Cihazı (A.O.LTS75LX),0.0
A1101016124 MP24 (A4101016124),0.0
A1101192124 MP24 (A1101192124),0.0
A1101192135 MP35 (A1101192135),0.0
