Location,Rooms,Monthly Inflation(%)
Akseki/Güzelsu,2+1,0.0
Aksu,1+1,0.4261211235125053
Aksu,1.5+1,18.91891891891892
Aksu,2+0,0.0
Aksu,2+1,1.5234707992771137
Aksu,3+1,-5.143183656866979
Aksu,4+1,-16.314057357780907
Aksu,4+2,0.0
Aksu,5+1,1.1135857461024499
Aksu,6+1,0.0
Aksu,7+1,0.0
Aksu,Stüdyo (1+0),-42.5
Aksu/Köyler,1+1,-2.7296669248644494
Aksu/Köyler,2+1,-8.008658008658017
Aksu/Köyler,3+1,-1.4560279557367444
Aksu/Köyler,3.5+1,24.285714285714285
Aksu/Köyler,4+1,-27.400468384074948
Aksu/Köyler,4+2,43.75
Aksu/Köyler,6+2,-25.806451612903224
Aksu/Pınarlı,1+1,-40.833333333333336
Aksu/Pınarlı,2+1,-3.0303030303030303
Aksu/Pınarlı,3+1,0.0
Aksu/Pınarlı,6+1,0.0
Aksu/Pınarlı,Stüdyo (1+0),0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,1.6054149603401502
Alanya,1.5+1,0.0
Alanya,2+0,0.0
Alanya,2+1,4.490110855544287
Alanya,2+2,11.11111111111111
Alanya,2.5+1,0.0
Alanya,3+1,-1.0302753626947456
Alanya,3+2,-80.55555555555556
Alanya,3.5+1,0.0
Alanya,4+1,-12.475276473522182
Alanya,4+2,14.285714285714285
Alanya,4.5+2,0.0
Alanya,5+1,24.33392539964476
Alanya,6+1,69.6969696969697
Alanya,6+2,-60.0
Alanya,Stüdyo (1+0),-0.3527336860670258
Alanya/Beldeler,1+1,4.804931777373773
Alanya/Beldeler,2+1,5.325776269651512
Alanya/Beldeler,2.5+1,-18.64406779661017
Alanya/Beldeler,3+0,0.0
Alanya/Beldeler,3+1,9.588706078003383
Alanya/Beldeler,3+2,7.999999999999992
Alanya/Beldeler,3.5+1,7.142857142857142
Alanya/Beldeler,4+1,-10.329670329670328
Alanya/Beldeler,4+2,17.647058823529413
Alanya/Beldeler,4.5+1,5.714285714285714
Alanya/Beldeler,5+1,-24.0
Alanya/Beldeler,6+2,0.0
Alanya/Beldeler,Stüdyo (1+0),-6.502242152466361
Alanya/Demirtaş,1+1,48.0
Alanya/Demirtaş,3+1,0.0
Alanya/Köyler,1+1,0.0
Alanya/Köyler,2+1,101.04166666666667
Alanya/Köyler,3+1,61.809954751131215
Alanya/Köyler,4+1,0.0
Alanya/İncekum (Yeşilköy),1+1,8.333333333333332
Alanya/İncekum (Yeşilköy),2+1,-21.212121212121207
Alanya/İncekum (Yeşilköy),3+1,2.272727272727277
Alanya/İncekum (Yeşilköy),4+1,10.317460317460316
Demre/Kale(Demre),1+1,12.65356265356265
Demre/Kale(Demre),2+0,0.0
Demre/Kale(Demre),2+1,14.747507237053718
Demre/Kale(Demre),3+0,-65.21739130434783
Demre/Kale(Demre),3+1,2.798507462686567
Demre/Kale(Demre),4+1,-14.285714285714283
Demre/Kale(Demre),5+1,-7.142857142857142
Demre/Kale(Demre),5+2,0.0
Demre/Kale(Demre),6+3,0.0
Demre/Kale(Demre),Stüdyo (1+0),0.0
Demre/Köyler,1+1,0.0
Demre/Köyler,2+1,28.57142857142857
Döşemealtı/Düzlerçamı,1+1,0.0
Döşemealtı/Düzlerçamı,2+1,0.0
Döşemealtı/Düzlerçamı,3+1,0.0
Döşemealtı/Düzlerçamı,4+1,0.0
Döşemealtı/Düzlerçamı,5+1,-7.187500000000006
Döşemealtı/Düzlerçamı,6+1,0.0
Döşemealtı/Köyler,1+1,0.0
Döşemealtı/Köyler,2+1,-15.833333333333332
Döşemealtı/Köyler,3+1,-5.263157894736842
Döşemealtı/Merkez,1+1,1.6444101092594632
Döşemealtı/Merkez,2+1,-5.049063336306871
Döşemealtı/Merkez,3+1,-5.724717553044913
Döşemealtı/Merkez,4+1,28.70477911128319
Döşemealtı/Merkez,5+1,13.170640834575261
Döşemealtı/Merkez,5+2,0.0
Döşemealtı/Merkez,6+1,-19.047619047619047
Döşemealtı/Merkez,6+3,0.0
Döşemealtı/Merkez,7+1,-16.666666666666664
Döşemealtı/Merkez,Stüdyo (1+0),0.0
Döşemealtı/Yeniköy,1+1,-3.014742335290292
Döşemealtı/Yeniköy,2+0,-34.69387755102041
Döşemealtı/Yeniköy,2+1,1.5102451408798832
Döşemealtı/Yeniköy,2.5+1,0.0
Döşemealtı/Yeniköy,3+1,5.661800980875813
Döşemealtı/Yeniköy,4+1,76.71957671957672
Döşemealtı/Yeniköy,5+1,87.5
Döşemealtı/Yeniköy,6+1,0.0
Döşemealtı/Yeniköy,Stüdyo (1+0),0.0
Döşemealtı/Yeşilbayır,1+1,7.526881720430119
Döşemealtı/Yeşilbayır,2+1,-8.453085376162301
Döşemealtı/Yeşilbayır,2.5+1,0.0
Döşemealtı/Yeşilbayır,3+1,-2.212806026365348
Döşemealtı/Yeşilbayır,4+1,13.914049586776848
Döşemealtı/Yeşilbayır,4+2,0.0
Döşemealtı/Yeşilbayır,5+1,-9.713375796178346
Döşemealtı/Yeşilbayır,5.5+1,0.0
Döşemealtı/Yeşilbayır,6+1,0.0
Döşemealtı/Yeşilbayır,7+1,189.6551724137931
Döşemealtı/Yeşilbayır,8+2,0.0
Döşemealtı/Çığlık,2+1,0.0
Elmalı,2+1,0.0
Elmalı,3+1,0.6067500948047034
Finike,1+1,-5.642737896494152
Finike,2+1,4.794426154199522
Finike,3+1,2.31980115990058
Finike,3.5+1,0.0
Finike/Beldeler,1+1,-1.8662231447846356
Finike/Beldeler,2+1,1.4259806555615226
Finike/Beldeler,3+1,19.640535805120678
Finike/Beldeler,4+1,-3.4482758620689653
Gazipaşa,1+1,2.983482009475435
Gazipaşa,2+1,3.078992845349483
Gazipaşa,3+1,-24.165416755946005
Gazipaşa,4+1,17.307692307692307
Gazipaşa/Köyler,1+1,30.0
Gazipaşa/Köyler,2+1,-70.9090909090909
Gazipaşa/Köyler,3+1,32.35294117647058
Kaş,1+1,-11.454783748361734
Kaş,2+1,17.300712956651502
Kaş,3+1,8.7557603686636
Kaş,4+1,0.0
Kaş,5+1,0.0
Kaş,Stüdyo (1+0),32.35294117647058
Kaş/Kalkan,1+1,-32.04812703583062
Kaş/Kalkan,2+1,-12.523432434875554
Kaş/Kalkan,2.5+1,0.0
Kaş/Kalkan,3+1,-3.4460923868123867
Kaş/Kalkan,4+1,-3.5819744262381206
Kaş/Kalkan,5+1,-18.070395977372726
Kaş/Kalkan,5+2,0.0
Kaş/Kalkan,6+1,0.0
Kaş/Kalkan,Stüdyo (1+0),-35.2112676056338
Kaş/Köyler,1+1,-1.7525473071324529
Kaş/Köyler,2,0.0
Kaş/Köyler,2+1,9.748537501091409
Kaş/Köyler,2+2,5.88235294117647
Kaş/Köyler,3+1,-29.389632107023417
Kaş/Köyler,3+2,0.0
Kaş/Köyler,5+4,0.0
Kaş/Köyler,Stüdyo (1+0),-11.11111111111111
Kemer,1+1,60.23540489642183
Kemer,2+1,11.658391261171811
Kemer,3+1,76.35327635327637
Kemer,3.5+1,0.0
Kemer,4+1,26.89643799472296
Kemer,4+4,-10.0
Kemer,5+1,77.51479289940828
Kemer,6+1,0.0
Kemer,Stüdyo (1+0),3.3057851239669422
Kemer/Göynük,1+1,7.021791767554479
Kemer/Göynük,1.5+1,0.0
Kemer/Göynük,2+1,3.4343434343434343
Kemer/Göynük,3+1,137.1647509578544
Kemer/Göynük,4+1,-28.749999999999996
Kemer/Göynük,5+1,138.88888888888889
Kemer/Göynük,7+2,0.0
Kemer/Göynük,Stüdyo (1+0),5.4519505364441105
Kemer/Köyler,2+1,-18.076923076923084
Kemer/Köyler,2.5+1,0.0
Kemer/Köyler,3+0,0.0
Kemer/Köyler,3+1,0.0
Kemer/Köyler,Stüdyo (1+0),0.0
Kemer/Tekirova,1+1,-5.072463768115947
Kemer/Tekirova,2+1,1.4492753623188406
Kemer/Tekirova,3+1,-50.0
Kemer/Tekirova,5+1,0.0
Kepez/Ahatlı,1+1,0.2213159856179167
Kepez/Ahatlı,2+0,0.5610826080589368
Kepez/Ahatlı,2+1,2.591963652507076
Kepez/Ahatlı,3+0,0.0
Kepez/Ahatlı,3+1,3.875041542040548
Kepez/Ahatlı,4+1,352.6315789473684
Kepez/Ahatlı,4+4,0.0
Kepez/Ahatlı,5+1,20.863309352517987
Kepez/Ahatlı,5+2,-6.25
Kepez/Ahatlı,Stüdyo (1+0),2.175963142845687
Kepez/Dokuma,1+1,6.506276150627609
Kepez/Dokuma,1.5+1,4.761904761904762
Kepez/Dokuma,2+1,1.1518324607329842
Kepez/Dokuma,3+0,0.0
Kepez/Dokuma,3+1,0.7339600857661188
Kepez/Dokuma,4+1,-6.097560975609756
Kepez/Dokuma,Stüdyo (1+0),28.395061728395056
Kepez/Duraliler,1+1,-2.5516795865632993
Kepez/Duraliler,2+0,0.3086419753086375
Kepez/Duraliler,2+1,0.37012020694700476
Kepez/Duraliler,3+1,-3.658237171617972
Kepez/Duraliler,3.5+1,0.0
Kepez/Duraliler,4+1,-8.783783783783788
Kepez/Duraliler,4+2,-50.476190476190474
Kepez/Duraliler,6+1,131.57894736842107
Kepez/Duraliler,Stüdyo (1+0),11.418994413407829
Kepez/Düdenbaşı,1+1,0.14481268011527815
Kepez/Düdenbaşı,2+1,2.4489062031765054
Kepez/Düdenbaşı,3+1,-1.0112894967817483
Kepez/Düdenbaşı,4+1,0.0
Kepez/Düdenbaşı,4+2,0.0
Kepez/Erenköy,1+1,4.6574936078919285
Kepez/Erenköy,2+0,25.806451612903224
Kepez/Erenköy,2+1,1.281609576258162
Kepez/Erenköy,2+2,0.5319148936170252
Kepez/Erenköy,3+1,-0.7639026189514802
Kepez/Erenköy,4+1,-23.482171538708645
Kepez/Erenköy,5+1,9.090909090909092
Kepez/Erenköy,Stüdyo (1+0),0.0
Kepez/Köyler,2+1,4.439592430858812
Kepez/Köyler,3+1,-45.21739130434783
Kepez/Köyler,3+2,0.0
Kepez/Köyler,4+1,-17.32283464566929
Kepez/Merkez,1+1,6.075794736929011
Kepez/Merkez,2+1,13.333333333333334
Kepez/Merkez,3+1,31.28205128205128
Kepez/Merkez,4+1,-27.74122807017544
Kepez/Merkez,5+1,0.0
Kepez/Merkez,Stüdyo (1+0),-15.0
Kepez/Sütçüler,1+1,-26.669146663515868
Kepez/Sütçüler,2+0,0.0
Kepez/Sütçüler,2+1,2.9075563066959065
Kepez/Sütçüler,3+1,1.3959189232131155
Kepez/Sütçüler,4+1,-1.960784313725496
Kepez/Sütçüler,4+2,-4.761904761904762
Kepez/Sütçüler,6+1,0.0
Kepez/Sütçüler,Stüdyo (1+0),0.0
Kepez/Varsak,1+1,-0.6980807010779942
Kepez/Varsak,2+1,3.1448849393256735
Kepez/Varsak,3+1,5.187491890489169
Kepez/Varsak,4+1,8.527131782945736
Kepez/Varsak,5+1,40.0
Kepez/Varsak,5+2,3.571428571428571
