Location,Rooms,Monthly Inflation(%)
Akseki/Güzelsu,2+1,0.0
Aksu,1+1,2.494682866555796
Aksu,1.5+1,-2.631578947368421
Aksu,2+1,1.513206330226482
Aksu,2.5+1,0.0
Aksu,3+1,-8.188462983840665
Aksu,4+1,8.92725636199983
Aksu,4+2,0.0
Aksu,5+1,55.017301038062286
Aksu,Stüdyo (1+0),0.0
Aksu/Köyler,1+1,9.180722891566266
Aksu/Köyler,2+1,5.953635405690185
Aksu/Köyler,3+1,9.077669902912625
Aksu/Köyler,3.5+1,0.0
Aksu/Köyler,4+1,-0.13054830287206645
Aksu/Köyler,4+2,43.75
Aksu/Köyler,6+2,-28.125
Aksu/Pınarlı,1+1,0.0
Aksu/Pınarlı,2+1,0.0
Aksu/Pınarlı,3+1,0.0
Aksu/Pınarlı,6+1,0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,-0.08980452803477157
Alanya,1.5+1,0.0
Alanya,2+0,40.909090909090914
Alanya,2+1,1.2296524242720825
Alanya,2+2,0.0
Alanya,2.5+1,0.0
Alanya,3+1,3.5356067822283834
Alanya,3.5+1,0.0
Alanya,4+1,6.1545440798427276
Alanya,4+2,0.0
Alanya,4.5+2,0.0
Alanya,5+1,21.54088050314465
Alanya,Stüdyo (1+0),35.9375
Alanya/Beldeler,1+1,-3.171428139859204
Alanya/Beldeler,1.5+1,0.0
Alanya/Beldeler,2+1,-0.1924297553562308
Alanya/Beldeler,2.5+1,-25.0
Alanya/Beldeler,3+0,0.0
Alanya/Beldeler,3+1,4.241449056603771
Alanya/Beldeler,3+2,12.5
Alanya/Beldeler,3.5+1,-6.25
Alanya/Beldeler,4+1,6.641118988311937
Alanya/Beldeler,4+2,0.0
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,24.324324324324326
Alanya/Beldeler,5+2,0.0
Alanya/Beldeler,6+1,0.0
Alanya/Beldeler,7+1,0.0
Alanya/Beldeler,Stüdyo (1+0),-16.920731707317074
Alanya/Demirtaş,1+1,16.27906976744186
Alanya/Demirtaş,3+1,0.0
Alanya/Köyler,1+1,-3.225806451612903
Alanya/Köyler,1.5+1,-5.0
Alanya/Köyler,2+1,-3.3333333333333335
Alanya/Köyler,3+1,6.909090909090916
Alanya/Köyler,4+1,0.0
Alanya/İncekum (Yeşilköy),1+1,8.333333333333332
Alanya/İncekum (Yeşilköy),2+1,23.076923076923077
Alanya/İncekum (Yeşilköy),3+1,6.9306930693069315
Alanya/İncekum (Yeşilköy),4+1,-35.9375
Demre/Kale(Demre),1+1,0.0
Demre/Kale(Demre),2+0,-83.4862385321101
Demre/Kale(Demre),2+1,1.23904502870958
Demre/Kale(Demre),3+0,0.0
Demre/Kale(Demre),3+1,-9.680851063829786
Demre/Kale(Demre),4+1,-3.614457831325301
Demre/Kale(Demre),5+2,0.0
Demre/Kale(Demre),6+3,-6.25
Demre/Köyler,1+1,0.0
Demre/Köyler,2+0,0.0
Demre/Köyler,2+1,0.0
Demre/Köyler,3+1,0.0
Döşemealtı/Düzlerçamı,1+1,0.0
Döşemealtı/Düzlerçamı,2+1,0.0
Döşemealtı/Düzlerçamı,3+1,-78.94736842105263
Döşemealtı/Düzlerçamı,4+1,0.0
Döşemealtı/Düzlerçamı,5+1,-3.030303030303023
Döşemealtı/Düzlerçamı,6+1,0.0
Döşemealtı/Köyler,1+1,0.0
Döşemealtı/Köyler,2+1,19.318181818181817
Döşemealtı/Köyler,3+1,-41.1214953271028
Döşemealtı/Merkez,1+1,5.620422409077486
Döşemealtı/Merkez,2+1,-7.47749590834698
Döşemealtı/Merkez,3+1,-5.87392550143266
Döşemealtı/Merkez,4+1,10.239471511147812
Döşemealtı/Merkez,5+1,3.2806201550387617
Döşemealtı/Merkez,5+2,0.0
Döşemealtı/Merkez,6+1,50.0
Döşemealtı/Merkez,7+1,13.333333333333327
Döşemealtı/Merkez,8+1,0.0
Döşemealtı/Merkez,Stüdyo (1+0),0.0
Döşemealtı/Yeniköy,1+1,1.212355212355206
Döşemealtı/Yeniköy,2+0,-8.333333333333332
Döşemealtı/Yeniköy,2+1,2.1691298603389577
Döşemealtı/Yeniköy,3+1,6.604145969344312
Döşemealtı/Yeniköy,4+1,2.563722584469472
Döşemealtı/Yeniköy,5+1,-48.07692307692308
Döşemealtı/Yeniköy,6+1,0.0
Döşemealtı/Yeniköy,Stüdyo (1+0),10.0
Döşemealtı/Yeşilbayır,1+1,8.006042296072508
Döşemealtı/Yeşilbayır,2+1,-5.538922155688629
Döşemealtı/Yeşilbayır,2.5+1,0.0
Döşemealtı/Yeşilbayır,3+1,-7.9023746701846935
Döşemealtı/Yeşilbayır,3.5+1,0.0
Döşemealtı/Yeşilbayır,4+1,2.7253668763102725
Döşemealtı/Yeşilbayır,4+2,0.0
Döşemealtı/Yeşilbayır,5+1,-4.5016077170418045
Döşemealtı/Yeşilbayır,5.5+1,0.0
Döşemealtı/Yeşilbayır,6+1,-8.65671641791045
Döşemealtı/Yeşilbayır,7+1,90.80459770114943
Döşemealtı/Yeşilbayır,8+2,0.0
Döşemealtı/Çığlık,4+1,0.0
Elmalı,2+1,38.88888888888889
Elmalı,3+1,2.344827586206899
Finike,1+1,23.150202976995942
Finike,1.5+1,0.0
Finike,2+0,11.11111111111111
Finike,2+1,0.5643411827585125
Finike,3+1,8.218478815722307
Finike,3.5+1,0.0
Finike/Beldeler,1+1,-4.502177917807277
Finike/Beldeler,2+1,7.895012338293568
Finike/Beldeler,3+1,6.557164693385839
Finike/Beldeler,4+1,7.142857142857142
Gazipaşa,1+1,-0.7352645666380032
Gazipaşa,2+1,7.00604956951381
Gazipaşa,3+1,-9.862318132994817
Gazipaşa,4+1,2.631578947368426
Gazipaşa/Köyler,1+1,0.0
Gazipaşa/Köyler,3+1,-5.0
Kaş,1+1,10.162767039674465
Kaş,2+1,24.989544998327204
Kaş,3+1,-2.6143790849673247
Kaş,4+1,0.0
Kaş,5+1,-55.45454545454545
Kaş,Stüdyo (1+0),42.335766423357676
Kaş/Kalkan,1+1,8.516839378238332
Kaş/Kalkan,2+1,15.727890384712353
Kaş/Kalkan,3+1,-0.37947523548447815
Kaş/Kalkan,4+1,26.73671524509733
Kaş/Kalkan,5+1,0.0
Kaş/Kalkan,5+2,0.0
Kaş/Kalkan,6+1,-66.66666666666666
Kaş/Kalkan,7+2,0.0
Kaş/Kalkan,Stüdyo (1+0),0.0
Kaş/Köyler,1+1,26.186268734864846
Kaş/Köyler,2,0.0
Kaş/Köyler,2+1,-1.1695111171550938
Kaş/Köyler,2+2,0.0
Kaş/Köyler,2.5+1,-6.666666666666667
Kaş/Köyler,3+1,55.952380952380956
Kaş/Köyler,3+2,0.0
Kaş/Köyler,5+4,0.0
Kaş/Köyler,Stüdyo (1+0),26.76056338028169
Kemer,1+1,121.57153446997772
Kemer,2+1,13.312274368231039
Kemer,3+1,34.80475382003396
Kemer,3.5+1,0.0
Kemer,4+1,137.66793409378963
Kemer,4+4,0.0
Kemer,4.5+1,0.0
Kemer,5+1,75.0
Kemer,6+1,-20.0
Kemer,Stüdyo (1+0),-4.482758620689665
Kemer/Göynük,1+1,46.298701298701324
Kemer/Göynük,2+1,19.289940828402365
Kemer/Göynük,3+1,291.5883668903803
Kemer/Göynük,4+1,8.045977011494246
Kemer/Göynük,5+1,0.0
Kemer/Göynük,7+2,0.0
Kemer/Göynük,9+1,0.0
Kemer/Göynük,Stüdyo (1+0),7.24741301848327
Kemer/Köyler,1+1,61.53846153846153
Kemer/Köyler,2+1,-2.2222222222222223
Kemer/Köyler,2.5+1,0.0
Kemer/Köyler,3+1,0.0
Kemer/Köyler,Stüdyo (1+0),0.0
Kemer/Tekirova,1+1,-0.7650273224043715
