Product Name,Product Cost,id,sku,brand,category,regular_price,discount_rate,unit,status
Prosaw PS51219 Sunta Kesme 210x30/25 mm 16 Diş,366.0,15687,15687,Diğer,Daire Testereler,657.3,44.32,PIECE,IN_SALE
Tamir Bandı 48x40 mt,155.0,15645,15645,Diğer,Bantlar,168.0,7.74,PIECE,IN_SALE
Bosch Taşlama Siperi Kapaksız Vidalı 115 mm,467.78,15420,15420,Bosch Aksesuar ve El Aletleri,Kesme ve Taşlama Diskleri,519.75,10.0,PIECE,IN_SALE
"BOSCH HSSPointTeQ Metal Matkap Ucu 20,0mm (1 Adet)",1855.98,15047,15047,Bosch Aksesuar ve El Aletleri,Aksesuarlar,2062.2,10.0,PIECE,IN_SALE
BOSCH PRO MultiMaterial Delik Açma Testeresi 17mm,498.96,15000,15000,Bosch Aksesuar ve El Aletleri,Pançlar,554.4,10.0,PIECE,IN_SALE
Bosch C470 Zımpara Kağıdı Rulosu 115mm x 5m P240,327.92,14995,14995,Bosch Aksesuar ve El Aletleri,Aksesuarlar,364.35,10.0,PIECE,IN_SALE
BOSCH Çok Renkli Kalem Uçları 6 Parça,197.5,14916,14916,Bosch Aksesuar ve El Aletleri,Çok Amaçlı Setler,219.45,10.0,PIECE,IN_SALE
Bosch Bir Arada Ayar Başlı Nozül 3'lü,987.52,14721,14721,Bosch Aksesuar ve El Aletleri,Basınçlı Yıkama Makineleri,1097.25,10.0,PIECE,IN_SALE
"BOSCH HSS-Co Metal Matkap Ucu 6,5*101 mm 1li",203.18,14576,14576,Bosch Aksesuarlar,Aksesuarlar,225.75,10.0,PIECE,IN_SALE
"Bosch Exst Daire Testere Bıçak 235x25,40 mm 48 D E",2700.0,14325,14325,Bosch Aksesuar ve El Aletleri,Daire Testereler,3696.0,26.95,PIECE,IN_SALE
Bosch Panter Testere ProgforMetal S123XF,182.39,13811,13811,Bosch Aksesuarlar,Panter Testere Bıçakları,278.25,34.45,PIECE,IN_SALE
Bosch Expert Yaprak Matkap Ucu HEX 10x400 mm,311.85,13776,13776,Bosch Aksesuarlar,Ahşap Delici Uçlar,346.5,10.0,PIECE,IN_SALE
"Bosch HSSPointTeQ Metal Matkap Ucu 9,5mm",124.74,13588,13588,Bosch Aksesuarlar,Aksesuarlar,138.6,10.0,PIECE,IN_SALE
Bosch Ahşap Matkap Uç Expert SCS Yaprak HEX 18x152 mm,159.71,13587,13587,Bosch Aksesuarlar,Ahşap Delici Uçlar,177.45,10.0,PIECE,IN_SALE
Bosch Polisaj Süngeri EasyCurvSander 40 mm,239.08,13586,13586,Bosch Aksesuarlar,Polisaj Makine ve Aksesuarları,265.65,10.0,PIECE,IN_SALE
"Bosch Metal Matkap Ucu HSS-Co DIN 338 7,5x109 mm",234.36,13575,13575,Bosch Aksesuarlar,Aksesuarlar,262.5,10.72,PIECE,IN_SALE
