Location,Rooms,Weekly Inflation(%)
Aksu,1+1,-0.23824298351830508
Aksu,1.5+1,0.0
Aksu,2+1,-0.9586706291666025
Aksu,2.5+1,0.0
Aksu,3+1,-0.7142096860031856
Aksu,4+1,29.84293193717279
Aksu,4+2,0.0
Aksu,5+1,0.0
Aksu,7+1,0.0
Aksu,Stüdyo (1+0),0.0
Aksu/Köyler,1+1,0.6440957886044615
Aksu/Köyler,2+1,5.604288499025333
Aksu/Köyler,3+1,-0.20161290322580644
Aksu/Köyler,3.5+1,0.0
Aksu/Köyler,4+1,-7.329842931937169
Aksu/Köyler,4+2,0.0
Aksu/Köyler,5+1,0.0
Aksu/Köyler,6+1,0.0
Aksu/Köyler,6+2,0.0
Aksu/Pınarlı,1+1,0.0
Aksu/Pınarlı,2+1,0.0
Aksu/Çalkaya,2+1,0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,1.1995107528604918
Alanya,2+0,54.54545454545454
Alanya,2+1,-1.1681539266386618
Alanya,2+2,0.0
Alanya,3+1,-1.2537388176898274
Alanya,3+2,0.0
Alanya,3.5+1,0.0
Alanya,4+1,-1.2373685295937398
Alanya,4+2,0.0
Alanya,4.5+2,0.0
Alanya,5+1,1.4150943396226416
Alanya,6+1,-29.03225806451613
Alanya,6+2,0.0
Alanya,Stüdyo (1+0),-12.04545454545454
Alanya/Beldeler,1+1,0.10374924796420956
Alanya/Beldeler,2+1,0.7397180077777588
Alanya/Beldeler,2.5+1,-8.33333333333334
Alanya/Beldeler,3+1,7.986159169550175
Alanya/Beldeler,3+2,0.0
Alanya/Beldeler,3.5+1,-12.5
Alanya/Beldeler,4+1,6.357263717669815
Alanya/Beldeler,4+2,38.2716049382716
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,-1.2865497076023393
Alanya/Beldeler,Stüdyo (1+0),6.779661016949152
Alanya/Demirtaş,1+1,0.0
Alanya/Köyler,1+1,0.0
Alanya/Köyler,1.5+1,0.0
Alanya/Köyler,2+1,0.0
Alanya/Köyler,3+1,-12.587412587412588
Alanya/İncekum (Yeşilköy),2+1,3.8461538461538463
Alanya/İncekum (Yeşilköy),3+1,7.7227722772277225
Alanya/İncekum (Yeşilköy),4+1,0.0
Demre/Kale(Demre),1+1,0.0
Demre/Kale(Demre),2+0,0.0
Demre/Kale(Demre),2+1,5.931517929361014
Demre/Kale(Demre),3+0,0.0
Demre/Kale(Demre),3+1,0.0
Demre/Kale(Demre),4+1,-0.6993006993006892
Demre/Kale(Demre),5+1,0.0
Demre/Kale(Demre),5+2,0.0
Demre/Kale(Demre),6+3,-6.25
Demre/Köyler,1+1,0.0
Demre/Köyler,2+0,0.0
Demre/Köyler,2+1,0.0
Demre/Köyler,3+1,0.0
Döşemealtı/Düzlerçamı,5+1,-3.030303030303023
Döşemealtı/Köyler,2+1,5.737704918032794
Döşemealtı/Köyler,3+1,0.0
Döşemealtı/Köyler,Stüdyo (1+0),0.0
Döşemealtı/Merkez,1,0.0
Döşemealtı/Merkez,1+1,0.4956184600326169
Döşemealtı/Merkez,2+0,0.0
Döşemealtı/Merkez,2+1,3.1555370122312687
Döşemealtı/Merkez,3+1,-17.712391214256115
Döşemealtı/Merkez,4+1,-4.079273327828241
Döşemealtı/Merkez,5+1,-3.8139534883720865
Döşemealtı/Merkez,5+2,0.0
Döşemealtı/Merkez,6+1,0.0
Döşemealtı/Merkez,6+2,0.0
Döşemealtı/Merkez,7+1,20.0
Döşemealtı/Merkez,8+1,0.0
Döşemealtı/Merkez,Stüdyo (1+0),0.0
Döşemealtı/Yeniköy,1+1,1.2250460210041134
Döşemealtı/Yeniköy,2+0,0.0
