Location,Rooms,Inflation(%)
Akseki/Güzelsu,2+1,0.0
Aksu,1+1,0.8736242001705857
Aksu,1.5+1,0.0
Aksu,2+0,0.0
Aksu,2+1,1.7533137874789866
Aksu,2.5+1,0.0
Aksu,3+1,0.670958016909279
Aksu,4+1,-11.795925355247382
Aksu,4+2,0.0
Aksu,5+1,0.0
Aksu,Stüdyo (1+0),0.0
Aksu/Köyler,1+1,-0.6011622470108958
Aksu/Köyler,2+1,1.0048749080205968
Aksu/Köyler,3+1,12.651265126512653
Aksu/Köyler,3.5+1,24.285714285714285
Aksu/Köyler,4+1,8.899297423887582
Aksu/Köyler,4+2,0.0
Aksu/Köyler,6+2,0.0
Aksu/Pınarlı,1+1,0.0
Aksu/Pınarlı,2+1,0.0
Aksu/Pınarlı,3+1,12.5
Aksu/Pınarlı,6+1,0.0
Aksu/Çalkaya,2+1,0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,-2.5030948421633465
Alanya,1.5+1,0.0
Alanya,2+0,0.0
Alanya,2+1,1.7165637070064164
Alanya,2+2,0.0
Alanya,2.5+1,0.0
Alanya,3+1,0.6237945585753196
Alanya,3.5+1,0.0
Alanya,4+1,0.4425140842853977
Alanya,4+2,0.0
Alanya,4.5+2,0.0
Alanya,5+1,-1.6051364365971015
Alanya,6+1,0.0
Alanya,Stüdyo (1+0),-2.564102564102564
Alanya/Beldeler,1+1,3.944261538104111
Alanya/Beldeler,1.5+1,0.0
Alanya/Beldeler,2+1,1.3453826601689378
Alanya/Beldeler,2.5+1,-17.525773195876287
Alanya/Beldeler,3+0,0.0
Alanya/Beldeler,3+1,2.5699599876885295
Alanya/Beldeler,3+2,7.999999999999992
Alanya/Beldeler,3.5+1,7.142857142857142
Alanya/Beldeler,4+1,-3.60322760155816
Alanya/Beldeler,4+2,17.647058823529413
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,25.0
Alanya/Beldeler,5+2,0.0
Alanya/Beldeler,7+1,0.0
Alanya/Beldeler,Stüdyo (1+0),-5.361702127659575
Alanya/Demirtaş,1+1,0.0
Alanya/Demirtaş,3+1,0.0
Alanya/Köyler,1+1,16.666666666666664
Alanya/Köyler,1.5+1,0.0
Alanya/Köyler,2+1,6.25
Alanya/Köyler,3+1,9.140271493212662
Alanya/Köyler,4+1,0.0
Alanya/İncekum (Yeşilköy),1+1,8.333333333333332
Alanya/İncekum (Yeşilköy),2+1,-5.454545454545454
Alanya/İncekum (Yeşilköy),3+1,-7.954545454545451
Alanya/İncekum (Yeşilköy),4+1,-34.92063492063492
Demre/Kale(Demre),1+1,-13.267813267813272
Demre/Kale(Demre),2+0,0.0
Demre/Kale(Demre),2+1,-2.8336639274582036
Demre/Kale(Demre),3+0,0.0
Demre/Kale(Demre),3+1,0.9950248756218925
Demre/Kale(Demre),4+1,-48.38709677419355
Demre/Kale(Demre),5+2,0.0
Demre/Kale(Demre),6+3,0.0
Demre/Köyler,1+1,0.0
Demre/Köyler,2+0,0.0
Demre/Köyler,2+1,0.0
Demre/Köyler,3+1,0.0
Döşemealtı/Düzlerçamı,1+1,0.0
Döşemealtı/Düzlerçamı,2+1,0.0
Döşemealtı/Düzlerçamı,4+1,0.0
Döşemealtı/Düzlerçamı,5+1,0.0
Döşemealtı/Düzlerçamı,6+1,0.0
Döşemealtı/Köyler,1+1,0.0
Döşemealtı/Köyler,2+1,0.0
Döşemealtı/Köyler,3+1,0.0
Döşemealtı/Merkez,1+1,-0.6710123692017809
Döşemealtı/Merkez,2+1,-1.786366959064319
Döşemealtı/Merkez,3+1,-6.24249699879952
Döşemealtı/Merkez,4+1,8.458537994799187
Döşemealtı/Merkez,5+1,2.7517564402810346
Döşemealtı/Merkez,5+2,0.0
Döşemealtı/Merkez,6+1,-9.523809523809524
Döşemealtı/Merkez,7+1,0.0
Döşemealtı/Merkez,8+1,0.0
Döşemealtı/Merkez,Stüdyo (1+0),0.0
Döşemealtı/Yeniköy,1+1,-0.10994174661237972
Döşemealtı/Yeniköy,2+0,0.0
Döşemealtı/Yeniköy,2+1,-1.7896918656917364
Döşemealtı/Yeniköy,3+1,1.9285623210609089
Döşemealtı/Yeniköy,4+1,30.869565217391305
Döşemealtı/Yeniköy,Stüdyo (1+0),0.0
Döşemealtı/Yeşilbayır,1+1,9.82286634460548
Döşemealtı/Yeşilbayır,2+1,38.06896551724139
Döşemealtı/Yeşilbayır,2.5+1,0.0
Döşemealtı/Yeşilbayır,3+1,7.744209466263835
Döşemealtı/Yeşilbayır,3.5+1,0.0
Döşemealtı/Yeşilbayır,4+1,6.176470588235289
Döşemealtı/Yeşilbayır,4+2,0.0
Döşemealtı/Yeşilbayır,5+1,-11.719745222929937
Döşemealtı/Yeşilbayır,5.5+1,0.0
Döşemealtı/Yeşilbayır,6+1,-12.581699346405223
Döşemealtı/Yeşilbayır,7+1,169.33701657458562
Döşemealtı/Yeşilbayır,8+2,0.0
Döşemealtı/Çığlık,4+1,0.0
Elmalı,2+1,13.636363636363635
Elmalı,3+1,-4.504504504504505
Finike,1+1,-4.221854304635758
Finike,1.5+1,0.0
Finike,2+0,11.11111111111111
Finike,2+1,0.08043124839565155
Finike,3+1,6.876553438276719
Finike/Beldeler,1+1,-0.6228641207425125
Finike/Beldeler,2+1,2.9652130810000203
Finike/Beldeler,3+1,-1.491413784991757
Finike/Beldeler,4+1,3.4482758620689653
Gazipaşa,1+1,2.522863450015766
Gazipaşa,2+1,-1.2428210171396548
Gazipaşa,3+1,-11.92895497728211
Gazipaşa,4+1,0.0
Gazipaşa/Köyler,1+1,0.0
Gazipaşa/Köyler,2+1,-9.090909090909092
Gazipaşa/Köyler,3+1,4.779411764705877
Kaş,1+1,12.449528936742938
Kaş,2+1,30.477049226520908
Kaş,3+1,-10.104927007299274
Kaş,4+1,0.0
Kaş,5+1,0.0
Kaş,Stüdyo (1+0),0.0
Kaş/Kalkan,1+1,-15.196441808747222
Kaş/Kalkan,2+1,1.6639106304956348
Kaş/Kalkan,2.5+1,0.0
Kaş/Kalkan,3+1,-18.28555069322318
Kaş/Kalkan,3.5+1,0.0
Kaş/Kalkan,4+1,0.9609621152698126
Kaş/Kalkan,5+1,0.0
Kaş/Kalkan,5+2,0.0
Kaş/Kalkan,6+1,0.0
Kaş/Kalkan,7+2,0.0
Kaş/Kalkan,Stüdyo (1+0),0.0
Kaş/Köyler,1+1,3.542396897606085
Kaş/Köyler,2,0.0
Kaş/Köyler,2+1,4.191858121725112
Kaş/Köyler,2+2,0.0
Kaş/Köyler,2.5+1,0.0
Kaş/Köyler,3+1,-6.48946360153257
Kaş/Köyler,4+1,0.0
Kaş/Köyler,5+4,0.0
Kaş/Köyler,Stüdyo (1+0),4.046242774566474
Kemer,1+1,35.463280713795484
Kemer,2+1,-17.476156835040626
Kemer,3+1,7.170884048686739
Kemer,3.5+1,0.0
Kemer,4+1,-0.13192612137202975
Kemer,4+4,0.0
Kemer,4.5+1,0.0
Kemer,6+1,0.0
Kemer,Stüdyo (1+0),2.564102564102564
Kemer/Göynük,1+1,6.30640545894783
Kemer/Göynük,1.5+1,0.0
Kemer/Göynük,2+1,-3.056768558951959
Kemer/Göynük,3+1,0.0
Kemer/Göynük,4+1,-21.66666666666667
Kemer/Göynük,5+1,0.0
Kemer/Göynük,7+2,0.0
Kemer/Göynük,9+1,0.0
Kemer/Göynük,Stüdyo (1+0),0.09603957526159111
Kemer/Köyler,1+1,0.0
Kemer/Köyler,2+1,-16.551724137931036
Kemer/Köyler,2.5+1,0.0
Kemer/Köyler,3+1,0.0
Kemer/Köyler,Stüdyo (1+0),0.0
Kemer/Tekirova,1+1,-1.358695652173913
Kemer/Tekirova,2+1,0.0
Kemer/Tekirova,3+1,-1.8518518518518516
Kemer/Tekirova,Stüdyo (1+0),0.0
Kepez/Ahatlı,1+1,-0.23288658291172934
Kepez/Ahatlı,1.5+1,0.0
Kepez/Ahatlı,2+0,-1.1450085324049513
Kepez/Ahatlı,2+1,-0.26438961778278164
Kepez/Ahatlı,3+0,0.0
Kepez/Ahatlı,3+1,5.2460296797708885
Kepez/Ahatlı,4+1,-9.722222222222223
Kepez/Ahatlı,4+4,0.0
Kepez/Ahatlı,5+1,-7.913669064748201
Kepez/Ahatlı,5+2,0.0
Kepez/Ahatlı,Stüdyo (1+0),4.22042416985904
Kepez/Altınova,3+1,0.0
Kepez/Dokuma,1+1,-4.253025038936141
Kepez/Dokuma,1.5+1,4.761904761904762
Kepez/Dokuma,2+1,-4.63566405243198
Kepez/Dokuma,2.5+1,0.0
Kepez/Dokuma,3+1,-0.9537107156380155
Kepez/Dokuma,4+1,-13.414634146341465
Kepez/Dokuma,5+1,0.0
Kepez/Dokuma,Stüdyo (1+0),31.38888888888889
Kepez/Duraliler,1+1,4.164822192710639
Kepez/Duraliler,2+0,2.7472527472527366
Kepez/Duraliler,2+1,7.567197638457297
Kepez/Duraliler,3+1,-14.456279415407487
Kepez/Duraliler,4+1,0.0
Kepez/Duraliler,4+2,-16.19047619047619
Kepez/Duraliler,5+1,0.0
Kepez/Duraliler,6+1,0.0
Kepez/Duraliler,7+1,0.0
Kepez/Duraliler,Stüdyo (1+0),0.43832986722124573
Kepez/Düdenbaşı,1+1,-0.36911341416031584
Kepez/Düdenbaşı,2+1,0.8544340386171764
Kepez/Düdenbaşı,3+1,-2.3172068263660632
Kepez/Erenköy,1+1,-0.4912512253470072
Kepez/Erenköy,2+0,5.343511450381679
Kepez/Erenköy,2+1,1.6600822197409535
Kepez/Erenköy,2+2,0.0
Kepez/Erenköy,3+0,0.0
Kepez/Erenköy,3+1,1.3906265210541042
Kepez/Erenköy,4+1,-8.182463613773526
Kepez/Erenköy,5+1,-10.16042780748663
