Location,Rooms,Inflation(%)
Akseki/Güzelsu,2+1,0.0
Aksu,1+1,0.8786624164992463
Aksu,1.5+1,0.0
Aksu,2+1,-0.46821657843708914
Aksu,2.5+1,0.0
Aksu,3+1,-17.118903558576122
Aksu,3+3,0.0
Aksu,4+1,-7.726061745807863
Aksu,4+2,0.0
Aksu,5+1,-0.22271714922048996
Aksu,Stüdyo (1+0),2.5
Aksu/Köyler,1+1,-5.108239227037393
Aksu/Köyler,2+1,3.6475869809203143
Aksu/Köyler,3+1,-6.683168316831684
Aksu/Köyler,3.5+1,24.285714285714285
Aksu/Köyler,4+1,-5.854800936768156
Aksu/Köyler,4+2,43.75
Aksu/Köyler,5+1,13.315
Aksu/Köyler,6+2,0.0
Aksu/Pınarlı,1+1,0.0
Aksu/Pınarlı,2+1,0.0
Aksu/Pınarlı,3+1,12.5
Aksu/Pınarlı,6+1,0.0
Aksu/Çalkaya,1+1,0.0
Aksu/Çalkaya,2+1,0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,-1.6858979986999696
Alanya,1.5+1,0.0
Alanya,2+0,0.0
Alanya,2+1,2.155854642039342
Alanya,2+2,0.0
Alanya,2.5+1,0.0
Alanya,3+1,-2.653780399586331
Alanya,3.5+1,0.0
Alanya,4+1,0.7178226723141923
Alanya,4+2,0.0
Alanya,4.5+2,0.0
Alanya,5+1,-10.809439228622171
Alanya,6+1,0.0
Alanya,Stüdyo (1+0),0.5291005291005291
Alanya/Beldeler,1+1,3.6648121651619077
Alanya/Beldeler,1.5+1,0.0
Alanya/Beldeler,2+1,0.35757707595914245
Alanya/Beldeler,2.5+1,15.254237288135593
Alanya/Beldeler,3+0,0.0
Alanya/Beldeler,3+1,13.166304840237448
Alanya/Beldeler,3+2,7.999999999999992
Alanya/Beldeler,3.5+1,7.142857142857142
Alanya/Beldeler,4+1,-0.42265426880812107
Alanya/Beldeler,4+2,17.647058823529413
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,0.0
Alanya/Beldeler,5+2,0.0
Alanya/Beldeler,7+1,0.0
Alanya/Beldeler,Stüdyo (1+0),-14.439461883408066
Alanya/Demirtaş,1+1,0.0
Alanya/Demirtaş,3+1,0.0
Alanya/Köyler,1+1,16.666666666666664
Alanya/Köyler,1.5+1,0.0
Alanya/Köyler,2+1,6.25
Alanya/Köyler,3+1,9.140271493212662
Alanya/Köyler,4+1,0.0
Alanya/İncekum (Yeşilköy),1+1,0.0
Alanya/İncekum (Yeşilköy),2+1,-5.454545454545454
Alanya/İncekum (Yeşilköy),3+1,0.0
Alanya/İncekum (Yeşilköy),4+1,-34.92063492063492
Demre/Kale(Demre),1+1,-13.267813267813272
Demre/Kale(Demre),2+0,0.0
Demre/Kale(Demre),2+1,-1.2865873271148303
Demre/Kale(Demre),3+0,0.0
Demre/Kale(Demre),3+1,0.9950248756218925
Demre/Kale(Demre),4+1,-28.571428571428566
Demre/Kale(Demre),6+3,0.0
Demre/Köyler,1+1,0.0
Demre/Köyler,2+0,0.0
Demre/Köyler,2+1,0.0
Demre/Köyler,3+1,0.0
Döşemealtı/Düzlerçamı,1+1,0.0
Döşemealtı/Düzlerçamı,2+1,0.0
Döşemealtı/Düzlerçamı,4+1,0.0
Döşemealtı/Düzlerçamı,5+1,0.0
Döşemealtı/Düzlerçamı,6+1,0.0
Döşemealtı/Köyler,1+1,0.0
Döşemealtı/Köyler,2+1,-12.5
Döşemealtı/Köyler,3+1,0.0
Döşemealtı/Merkez,1+1,1.0888473680819526
Döşemealtı/Merkez,2+1,-1.0334849111202975
Döşemealtı/Merkez,3+1,-1.697810108739419
Döşemealtı/Merkez,4+1,13.030713640469749
Döşemealtı/Merkez,5+1,3.415300546448082
Döşemealtı/Merkez,5+2,0.0
Döşemealtı/Merkez,6+1,-9.523809523809524
Döşemealtı/Merkez,7+1,0.0
Döşemealtı/Merkez,8+1,0.0
Döşemealtı/Merkez,Stüdyo (1+0),0.0
Döşemealtı/Yeniköy,1+1,-3.5717909690512486
Döşemealtı/Yeniköy,2+0,-10.204081632653061
Döşemealtı/Yeniköy,2+1,1.4426050420168013
Döşemealtı/Yeniköy,3+1,3.1729320518230484
Döşemealtı/Yeniköy,4+1,16.005291005291006
Döşemealtı/Yeniköy,Stüdyo (1+0),0.0
Döşemealtı/Yeşilbayır,1+1,-1.0752688172042855
Döşemealtı/Yeşilbayır,2+1,-2.366863905325448
Döşemealtı/Yeşilbayır,2.5+1,0.0
Döşemealtı/Yeşilbayır,3+1,-3.2015065913371
Döşemealtı/Yeşilbayır,3.5+1,0.0
Döşemealtı/Yeşilbayır,4+1,12.509090909090903
