product_name,price,product_id,brand,category,color,regular_price,discount_pct,currency
Paçası yırtmaçlı kapri pantolon,1290.0,229723200,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Siyah,1290.0,0.0,TRY
Elastik belli kargo bermuda şort,1890.0,226931261,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Kum rengi,1890.0,0.0,TRY
Baskılı uzun şardonlu bermuda,1990.0,228741259,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Koyu gri,1990.0,0.0,TRY
Kruvaze düğmeli culotte pantolon bermuda,1990.0,227229914,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Siyah,1990.0,0.0,TRY
Baggy fit denim bermuda,1790.0,229730106,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Açık mavi,1790.0,0.0,TRY
Baskılı kargo bermuda,2490.0,229499431,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Haki,2490.0,0.0,TRY
Baskılı kargo bermuda,2490.0,236553974,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Haki,2490.0,0.0,TRY
Paçası yırtmaçlı kapri pantolon,1290.0,226931517,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Kahverengi,1290.0,0.0,TRY
Kapri pantolon,1990.0,229730493,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Kirli beyaz,1990.0,0.0,TRY
Slouchy denim bermuda şort,1990.0,226931817,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Açık mavi,1990.0,0.0,TRY
Baggy fit denim bermuda,1790.0,229730104,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Mavi,1790.0,0.0,TRY
ED HARDY x BERSHKA uzun bermuda şort,2990.0,228296991,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Kum rengi,2990.0,0.0,TRY
Kapri pantolon,1990.0,230329136,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Haki,1990.0,0.0,TRY
Kapri pantolon,1990.0,229730491,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Haki,1990.0,0.0,TRY
Şardonlu eşofman şort,1290.0,229730066,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Siyah,1290.0,0.0,TRY
Slouchy denim bermuda şort,1990.0,229730047,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Açık mavi,1990.0,0.0,TRY
Uzun fitilli kumaş bermuda,1990.0,226931432,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Siyah,1990.0,0.0,TRY
Denim kapri pantolon,1890.0,226926680,Bershka,KADıN > KAPRİ PANTOLONLAR VE JORTLAR,Mavi,1890.0,0.0,TRY
