Location,Rooms,Daily Inflation(%)
Akseki/Güzelsu,2+1,0.0
Aksu,1+1,-0.4483960143010137
Aksu,1.5+1,0.0
Aksu,2+1,0.7552994805646602
Aksu,3+1,0.8896511148312459
Aksu,4+1,0.0
Aksu,5+1,0.0
Aksu,Stüdyo (1+0),0.0
Aksu/Köyler,1+1,-2.4036524775077184
Aksu/Köyler,2+1,0.27291167250600645
Aksu/Köyler,3+1,1.1251020170222594
Aksu/Köyler,3.5+1,0.0
Aksu/Köyler,4+1,0.0
Aksu/Köyler,4+2,0.0
Aksu/Köyler,6+2,0.0
Aksu/Pınarlı,1+1,0.0
Aksu/Pınarlı,2+1,-10.714285714285714
Aksu/Pınarlı,3+1,11.11111111111111
Aksu/Pınarlı,6+1,0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,-1.4588535424843925
Alanya,1.5+1,0.0
Alanya,2+0,0.0
Alanya,2+1,-0.7237125201111961
Alanya,2+2,0.0
Alanya,2.5+1,0.0
Alanya,3+1,1.8134642607680072
Alanya,3.5+1,0.0
Alanya,4+1,-0.8567817811363624
Alanya,4+2,0.0
Alanya,4.5+2,0.0
Alanya,5+1,0.0
Alanya,6+1,0.0
Alanya,Stüdyo (1+0),2.7777777777777777
Alanya/Beldeler,1+1,-1.4963079901846377
Alanya/Beldeler,2+1,0.9576171294445595
Alanya/Beldeler,2.5+1,0.0
Alanya/Beldeler,3+0,0.0
Alanya/Beldeler,3+1,6.4139979090366905
Alanya/Beldeler,3+2,0.0
Alanya/Beldeler,3.5+1,0.0
Alanya/Beldeler,4+1,-0.4629629629629629
Alanya/Beldeler,4+2,0.0
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,0.0
Alanya/Beldeler,5+2,0.0
Alanya/Beldeler,6+1,0.0
Alanya/Beldeler,7+1,0.0
Alanya/Beldeler,Stüdyo (1+0),13.017751479289942
Alanya/Demirtaş,1+1,0.0
Alanya/Demirtaş,3+1,0.0
Alanya/Köyler,1+1,0.0
Alanya/Köyler,2+1,0.0
Alanya/Köyler,3+1,3.316326530612245
Alanya/Köyler,4+1,0.0
Alanya/İncekum (Yeşilköy),1+1,0.0
Alanya/İncekum (Yeşilköy),2+1,0.0
Alanya/İncekum (Yeşilköy),3+1,0.0
Alanya/İncekum (Yeşilköy),4+1,0.0
Demre/Kale(Demre),1+1,-1.2195121951219468
Demre/Kale(Demre),2+0,0.0
Demre/Kale(Demre),2+1,3.917065390749588
Demre/Kale(Demre),3+0,0.0
Demre/Kale(Demre),3+1,0.0
Demre/Kale(Demre),4+1,0.0
Demre/Kale(Demre),5+1,0.0
Demre/Kale(Demre),5+2,0.0
Demre/Kale(Demre),6+3,0.0
Demre/Köyler,1+1,0.0
Demre/Köyler,2+1,0.0
Döşemealtı/Düzlerçamı,1+1,0.0
Döşemealtı/Düzlerçamı,2+1,0.0
Döşemealtı/Düzlerçamı,3+1,0.0
Döşemealtı/Düzlerçamı,4+1,0.0
Döşemealtı/Düzlerçamı,5+1,0.0
