Location,Rooms,Daily Inflation(%)
Akseki/Güzelsu,2+1,0.0
Aksu,1+1,-0.32096693936253623
Aksu,1.5+1,0.0
Aksu,2+0,-9.090909090909092
Aksu,2+1,-0.08771958956301171
Aksu,3+1,0.3859477887906642
Aksu,4+1,-6.521317829457364
Aksu,4+2,0.0
Aksu,5+1,0.0
Aksu,6+1,-24.999999999999993
Aksu,7+1,0.0
Aksu,Stüdyo (1+0),0.0
Aksu/Köyler,1+1,-0.7562662057044148
Aksu/Köyler,2+1,0.8748259052924802
Aksu/Köyler,3+1,0.0
Aksu/Köyler,3.5+1,0.0
Aksu/Köyler,4+1,11.711711711711706
Aksu/Köyler,4+2,0.0
Aksu/Köyler,6+2,0.0
Aksu/Pınarlı,1+1,0.0
Aksu/Pınarlı,2+1,0.0
Aksu/Pınarlı,6+1,0.0
Aksu/Pınarlı,Stüdyo (1+0),0.0
Aksu/Çalkaya,3+1,0.0
Alanya,1+1,0.4483958852395332
Alanya,1.5+1,0.0
Alanya,2+0,-35.13513513513514
Alanya,2+1,0.3090346212338857
Alanya,2+2,0.0
Alanya,2.5+1,0.0
Alanya,3+0,0.0
Alanya,3+1,-1.7516069620889338
Alanya,3+2,0.0
Alanya,3.5+1,0.0
Alanya,4+1,-1.9038193879579959
Alanya,4+2,0.0
Alanya,4.5+2,0.0
Alanya,5+1,0.0
Alanya,6+1,0.0
Alanya,Stüdyo (1+0),9.259259259259265
Alanya/Beldeler,1+1,-3.4179141391184267
Alanya/Beldeler,2+1,-0.6944101258941736
Alanya/Beldeler,2.5+1,0.0
Alanya/Beldeler,3+0,0.0
Alanya/Beldeler,3+1,-1.305884823824293
Alanya/Beldeler,3+2,0.0
Alanya/Beldeler,3.5+1,0.0
Alanya/Beldeler,4+1,-1.6077170418006375
Alanya/Beldeler,4+2,0.0
Alanya/Beldeler,4.5+1,0.0
Alanya/Beldeler,5+1,0.0
Alanya/Beldeler,6+2,0.0
Alanya/Beldeler,Stüdyo (1+0),0.0
Alanya/Demirtaş,1+1,-4.255319148936167
Alanya/Demirtaş,3+1,0.0
Alanya/Köyler,1+1,0.0
Alanya/Köyler,2+1,0.348432055749134
Alanya/Köyler,3+1,0.0
Alanya/Köyler,4+1,0.0
Alanya/İncekum (Yeşilköy),1+1,0.0
Alanya/İncekum (Yeşilköy),2+1,-10.652920962199309
Alanya/İncekum (Yeşilköy),3+1,0.0
Alanya/İncekum (Yeşilköy),4+1,0.0
Demre/Kale(Demre),1+1,0.0
Demre/Kale(Demre),2+0,0.0
Demre/Kale(Demre),2+1,1.07975153207988
Demre/Kale(Demre),3+0,-65.21739130434783
Demre/Kale(Demre),3+1,0.0
Demre/Kale(Demre),4+1,0.0
Demre/Kale(Demre),5+1,0.0
Demre/Kale(Demre),5+2,0.0
Demre/Kale(Demre),6+3,0.0
Demre/Kale(Demre),Stüdyo (1+0),15.789473684210526
Demre/Köyler,1+1,0.0
Demre/Köyler,2+1,28.57142857142857
Döşemealtı/Düzlerçamı,1+1,0.0
Döşemealtı/Düzlerçamı,2+1,0.0
Döşemealtı/Düzlerçamı,3+1,0.0
Döşemealtı/Düzlerçamı,4+1,0.0
Döşemealtı/Düzlerçamı,5+1,0.0
Döşemealtı/Düzlerçamı,6+1,0.0
Döşemealtı/Köyler,1+1,0.0
Döşemealtı/Köyler,2+1,0.0
Döşemealtı/Köyler,3+1,0.0
Döşemealtı/Merkez,1+1,3.184034639792794
Döşemealtı/Merkez,2+1,7.156962887299965
Döşemealtı/Merkez,3+1,2.0720852181526297
Döşemealtı/Merkez,4+1,5.191371793848962
Döşemealtı/Merkez,5+1,7.522123893805317
Döşemealtı/Merkez,5+2,0.0
Döşemealtı/Merkez,6+1,0.0
Döşemealtı/Merkez,6+3,0.0
Döşemealtı/Merkez,7+1,-16.5
Döşemealtı/Merkez,Stüdyo (1+0),0.0
Döşemealtı/Yeniköy,1+1,0.23915126727071986
Döşemealtı/Yeniköy,2+0,0.0
Döşemealtı/Yeniköy,2+1,1.9513204790661078
Döşemealtı/Yeniköy,2.5+1,0.0
Döşemealtı/Yeniköy,3+1,0.8670019074041926
Döşemealtı/Yeniköy,4+1,0.0
Döşemealtı/Yeniköy,5+1,0.0
Döşemealtı/Yeniköy,6+1,0.0
Döşemealtı/Yeniköy,Stüdyo (1+0),-60.0
Döşemealtı/Yeşilbayır,1+1,0.0
Döşemealtı/Yeşilbayır,2+0,0.0
Döşemealtı/Yeşilbayır,2+1,0.0
Döşemealtı/Yeşilbayır,2.5+1,0.0
Döşemealtı/Yeşilbayır,3+1,0.0
Döşemealtı/Yeşilbayır,4+1,1.766222258025548
Döşemealtı/Yeşilbayır,4+2,0.0
Döşemealtı/Yeşilbayır,5+1,-6.315789473684211
Döşemealtı/Yeşilbayır,5.5+1,0.0
Döşemealtı/Yeşilbayır,6+1,0.0
Döşemealtı/Yeşilbayır,7+1,0.0
Döşemealtı/Yeşilbayır,8+2,0.0
Döşemealtı/Çığlık,2+1,0.0
Elmalı,2+1,-6.115107913669069
Elmalı,3+1,0.0
Finike,1+1,-2.243131351147905
Finike,2+1,0.9670427388428828
Finike,3+1,0.0
Finike,3.5+1,0.0
Finike/Beldeler,1+1,1.4588897035651542
Finike/Beldeler,2+1,-0.4576659038901593
Finike/Beldeler,3+1,0.9484536082474228
Finike/Beldeler,4+1,0.0
Gazipaşa,1+1,-0.02740476842970637
Gazipaşa,2+1,-0.5040970487638207
Gazipaşa,3+1,-2.495180980938102
Gazipaşa,4+1,0.0
Gazipaşa/Köyler,2+1,0.0
Gazipaşa/Köyler,3+1,0.0
Kaş,1+1,9.846984698469855
Kaş,2+1,-2.18080937511662
Kaş,3+1,0.0
Kaş,4+1,0.0
Kaş,5+1,53.125
Kaş,Stüdyo (1+0),0.0
Kaş/Kalkan,1+1,0.22328555741843956
Kaş/Kalkan,2+1,-0.37083103516595617
Kaş/Kalkan,2.5+1,0.0
Kaş/Kalkan,3+1,1.376168757497288
Kaş/Kalkan,4+1,1.294498381877018
Kaş/Kalkan,5+1,0.0
Kaş/Kalkan,5+2,0.0
Kaş/Kalkan,6+1,0.0
Kaş/Kalkan,7+2,-65.0485436893204
Kaş/Kalkan,Stüdyo (1+0),0.0
Kaş/Köyler,1+1,-2.2684310018903595
Kaş/Köyler,2,0.0
Kaş/Köyler,2+1,-0.552995391705077
Kaş/Köyler,2+2,8.0
Kaş/Köyler,3+1,0.0
Kaş/Köyler,3+2,0.0
Kaş/Köyler,5+4,0.0
Kaş/Köyler,Stüdyo (1+0),0.0
Kemer,1+1,-0.21183800623053683
Kemer,2+1,-3.2158317872603517
Kemer,3+1,-2.390953150242331
Kemer,3.5+1,0.0
Kemer,4+1,30.8724832214765
Kemer,4+4,0.0
Kemer,5+1,0.0
Kemer,6+1,0.0
Kemer,Stüdyo (1+0),0.0
Kemer/Göynük,1+1,0.663129973474803
Kemer/Göynük,1.5+1,0.0
Kemer/Göynük,2+1,-5.907172995780597
Kemer/Göynük,3+1,0.0
Kemer/Göynük,4+1,0.0
Kemer/Göynük,5+1,0.0
Kemer/Göynük,7+2,0.0
Kemer/Göynük,Stüdyo (1+0),0.0
Kemer/Köyler,2+1,0.0
Kemer/Köyler,2.5+1,0.0
Kemer/Köyler,3+0,0.0
Kemer/Köyler,3+1,0.0
Kemer/Köyler,Stüdyo (1+0),0.0
Kemer/Tekirova,1+1,0.0
Kemer/Tekirova,2+1,0.0
Kemer/Tekirova,3+1,0.0
Kemer/Tekirova,5+1,0.0
Kepez/Ahatlı,1+1,-0.4935978787806175
Kepez/Ahatlı,2+0,1.2725139724745194
Kepez/Ahatlı,2+1,0.7940685082365575
Kepez/Ahatlı,2.5+1,0.0
Kepez/Ahatlı,3+0,0.0
Kepez/Ahatlı,3+1,5.027978284956638
Kepez/Ahatlı,3.5+1,0.0
Kepez/Ahatlı,4+1,0.0
Kepez/Ahatlı,4+4,0.0
Kepez/Ahatlı,5+1,25.37313432835821
Kepez/Ahatlı,5+2,0.0
Kepez/Ahatlı,Stüdyo (1+0),0.6600803932213855
Kepez/Dokuma,1+1,0.949094046591888
Kepez/Dokuma,1.5+1,0.0
Kepez/Dokuma,2+1,0.7784120394395433
Kepez/Dokuma,3+0,0.0
Kepez/Dokuma,3+1,1.9201957650818953
Kepez/Dokuma,4+1,0.0
Kepez/Dokuma,Stüdyo (1+0),12.554112554112546
Kepez/Duraliler,1+1,-1.9941586731005847
Kepez/Duraliler,2+0,2.899910893647086
Kepez/Duraliler,2+1,-2.4563510887362123
Kepez/Duraliler,3+1,-2.3445463812436236
Kepez/Duraliler,3.5+1,0.0
Kepez/Duraliler,4+1,0.0
Kepez/Duraliler,4+2,11.397058823529406
Kepez/Duraliler,5+1,0.0
Kepez/Duraliler,6+1,0.0
Kepez/Duraliler,Stüdyo (1+0),-1.310408921933086
Kepez/Düdenbaşı,1+1,-2.4556340043889
Kepez/Düdenbaşı,2+1,-0.7776450388791224
Kepez/Düdenbaşı,3+1,-7.1687625713466945
Kepez/Düdenbaşı,4+1,53.44827586206896
Kepez/Erenköy,1+1,0.3724947504295678
Kepez/Erenköy,2+0,0.0
Kepez/Erenköy,2+1,0.43401477223060275
Kepez/Erenköy,2+2,0.0
Kepez/Erenköy,3+1,-0.0032890523028506462
Kepez/Erenköy,4+1,11.775700934579444
Kepez/Erenköy,5+1,0.0
Kepez/Erenköy,Stüdyo (1+0),50.0
Kepez/Köyler,2+1,4.9634273772204835
