Product Title,Category,Daily Inflation(%)
% 100 PAMUK BASKILI TİŞÖRT,Men,0.0
%100 KETEN CROP DUBLE PAÇA YAZLIK KUMAŞ PANTOLON,Men,21.428775512147734
%100 KETEN GÖMLEK ERKEK ÇOCUK,Kids-Baby,0.0
%100 KETEN PANTOLON ERKEK ÇOCUK,Kids-Baby,0.0
%100 KETEN RELAX FİT APAŞ YAKA KISA KOLLU GÖMLEK,Men,0.0
%100 KETEN RELAX FİT BERMUDA ŞORT,Men,0.0
%100 KETEN RELAX FİT DÜZ PAÇA YAZLIK BEYAZ PANTOLON,Men,0.0
%100 KETEN RELAX FİT DÜZ PAÇA YAZLIK PANTOLON,Men,0.0
%100 KETEN RELAX FİT PANTOLON,Men,0.0
%100 KETEN RELAX FİT UZUN KOLLU GÖMLEK,Men,0.0
%100 KETEN RELAX FİT ÜÇ CEPLİ GENİŞ PAÇA PANTOLON,Men,0.0
%100 KETEN YAZLIK BASİC UZUN KOLLU GÖMLEK,Men,0.0
%100 KETEN YAZLIK BERMUDA ŞORT,Men,0.0
%100 KETEN YAZLIK UZUN KOLLU BEYAZ GÖMLEK,Men,0.0
%100 KETEN YAZLIK UZUN KOLLU GÖMLEK,Men,0.0
%100 KETEN YAZLIK UZUN KOLLU SİYAH GÖMLEK,Men,0.0
%100 PAMUK %100 PAMUK LOOSE FIT ÇİZGİLİ SWEATSHİRT,Women,0.0
%100 PAMUK 90'S WIDE LEG JEAN PANTOLON,Women,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL JEAN PANTOLON,Women,-0.5797160261046191
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL KESİK UÇ PAÇA UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK 90'S WIDE LEG YÜKSEK BEL UZUN JEAN PANTOLON,Women,0.0
%100 PAMUK 90'S WİDE LEG YÜKSEK BEL JEAN PANTOLON,Women,0.0
%100 PAMUK A KESİM NORMAL BEL MÜSLİN ŞORT,Women,0.0
%100 PAMUK A KESİM PENYE MİNİ ELBİSE,Women,0.0
%100 PAMUK AFRA X DEFACTO KARE YAKA VUAL DESENLİ ASKILI BLUZ,Women,0.0
%100 PAMUK APAŞ YAKA POPLİN KISA KOLLU GÖMLEK,Men,0.0
%100 PAMUK ART HOKUSAİ SIRT BASKILI TİŞÖRT,Men,0.0
%100 PAMUK ASİMETRİK BİSİKLET YAKA ÇİZGİLİ TİŞÖRT,Women,0.0
%100 PAMUK ASİMETRİK KARELİ FLANEL ETEK,Women,0.0
%100 PAMUK ATATÜRK BASKILI TİŞÖRT,Men,0.0
%100 PAMUK ATLET,Men,0.0
%100 PAMUK ATLET,Women,0.0
%100 PAMUK AVATAR THE LAST AIRBENDER BASKILI TİŞÖRT,Men,0.0
%100 PAMUK AVATAR THE LAST AİRBENDER BOXY FİT SIRT BASKILI TİŞÖRT,Men,0.0
%100 PAMUK AVATAR THE LAST AİRBENDER SIRT BASKILI TİŞÖRT,Men,0.0
%100 PAMUK AĞIR KUMAŞ TİŞÖRT,Men,0.0
%100 PAMUK BAGGY FIT GABARDİN PANTOLON CEPLİ NORMAL BEL,Women,0.0
%100 PAMUK BAGGY FIT JEAN PANTOLON,Women,0.0
%100 PAMUK BAGGY FIT LEOPAR DESENLİ NORMAL BEL GABARDİN PANTOLON,Women,0.0
%100 PAMUK BAGGY FIT NORMAL BEL GABARDİN PANTOLON,Women,1.3889081792802835
%100 PAMUK BAGGY FIT YÜKSEK BEL JEAN PANTOLON,Women,3.8618298264361512
%100 PAMUK BAGGY FIT YÜKSEK BEL KATLAMALI PAÇA JEAN PANTOLON,Women,0.0
%100 PAMUK BAGGY FİT BELİ BAĞCIKLI DÜZ PAÇA ŞORT,Men,0.0
%100 PAMUK BAGGY FİT PANTOLON,Men,0.0
%100 PAMUK BARREL FIT NORMAL BEL JEAN PANTOLON,Women,0.0
%100 PAMUK BARREL FIT NORMAL BEL KİRAZ CHARMLI GABARDİN PANTOLON,Women,0.0
%100 PAMUK BARREL FIT NORMAL BEL POPLİN PANTOLON,Women,0.0
