kategori,urun_id,barcode,urun_ismi,fiyat
yeni-urunler,ADX-00035709B60,6000002254597,UZUN KOLLU BASİC BLUZ B1845,"399,50 TL"
yeni-urunler,ADX-00037255B60,6000002233066,KAYIK YAKA CROP SWEATSHİRT S10707,"499,50 TL"
yeni-urunler,ADX-0003747428,6000002249494,PAÇASI LASTİKLİ ŞARDONLU EŞOFMAN EŞF03026,"999,50 TL"
yeni-urunler,ADX-00037866B46,6000002278654,BOYUNDAN BAĞLAMALI DÜĞMELİ BLUZ A18600,"849,50 TL"
yeni-urunler,ADX-00036978Z148,6000002280350,YANI BÜZGÜLÜ T-SHİRT P1913,"379,50 TL"
yeni-urunler,ADX-0003782924,6000002274915,CEPLİ JEAN PANTOLON PN1103,"1.199,50 TL"
yeni-urunler,ADX-00035497Z148,6000002288325,BASİC KALIN T-SHİRT P10493-W7,"399,50 TL"
yeni-urunler,ADX-0003747228,6000002249197,ŞARDONLU FERMUARLI SWEATSHİRT H03024,"1.099,50 TL"
yeni-urunler,ADX-00038089K78,6000002292414,BONCUK İŞLEMELİ T-SHİRT P10738,"429,50 TL"
yeni-urunler,P-0000036865447,6000002219695,KAYIK YAKA BASKILI SWEATSHİRT S10662,"699,50 TL"
yeni-urunler,ADX-00037474K78,6000002255600,PAÇASI LASTİKLİ ŞARDONLU EŞOFMAN EŞF03026,"999,50 TL"
yeni-urunler,ADX-0003796628,6000002284372,KAYIK YAKA BASKILI T-SHİRT P10769,"379,50 TL"
yeni-urunler,ADX-00037472Z16,6000002249302,ŞARDONLU FERMUARLI SWEATSHİRT H03024,"1.099,50 TL"
yeni-urunler,ADX-00037810Z55,6000002271365,KAPÜŞONLU SWEATSHİRT S10743,"949,50 TL"
yeni-urunler,ADX-00037939Z55,6000002282996,KETEN KARIŞIMLI ŞORT Ş19008,"899,50 TL"
yeni-urunler,ADX-00037923B02,6000002281852,KALIN ASKILI BAĞLAMALI BLUZ B261019,"999,50 TL"
yeni-urunler,ADX-00035709K204,6000002260901,UZUN KOLLU BASİC BLUZ B1845,"399,50 TL"
yeni-urunler,ADX-00036736Z55,6000002234872,BAĞLAMALI UZUN KOLLU BLUZ B1892,"599,50 TL"
yeni-urunler,ADX-0003714311,6000002281432,KAYIK YAKA AJURLU TRİKO T2953,"579,50 TL"
yeni-urunler,ADX-00037471Z55,6000002249159,BELİ KORSELİ CROP SWEATSHİRT S11289,"649,50 TL"
yeni-urunler,ADX-00037498Z130,6000002250933,POLO YAKA ÇİZGİLİ T-SHİRT P10728,"549,50 TL"
yeni-urunler,ADX-00037818K110,6000002272539,KAYIK YAKA UZUN KOLLU BASİC T-SHİRT B06046,"649,50 TL"
yeni-urunler,ADX-00037831221,6000002275165,WİDE LEG JEAN PANTOLON PN1131,"1.099,50 TL"
yeni-urunler,ADX-00037818B02,6000002272508,KAYIK YAKA UZUN KOLLU BASİC T-SHİRT B06046,"649,50 TL"
yeni-urunler,ADX-00037723D33,6000002266637,İNCE ASKILI ATLET A1963,"299,50 TL"
yeni-urunler,ADX-00037933B02,6000002282552,KOLSUZ UZUN ELBİSE E19006,"1.699,50 TL"
yeni-urunler,ADX-0003772302,6000002266545,İNCE ASKILI ATLET A1963,"299,50 TL"
yeni-urunler,ADX-00037949B02,6000002283665,KISA KOLLU BASKILI T-SHİRT P10761,"349,50 TL"
yeni-urunler,ADX-0003793902,6000002282958,KETEN KARIŞIMLI ŞORT Ş19008,"899,50 TL"
yeni-urunler,ADX-00037951B02,6000002283696,BASKILI UZUN KOLLU T-SHİRT B10762,"599,50 TL"
yeni-urunler,ADX-00037471B02,6000002249074,BELİ KORSELİ CROP SWEATSHİRT S11289,"649,50 TL"
yeni-urunler,ADX-00037472B02,6000002249241,ŞARDONLU FERMUARLI SWEATSHİRT H03024,"1.099,50 TL"
yeni-urunler,ADX-00037474B02,6000002249524,PAÇASI LASTİKLİ ŞARDONLU EŞOFMAN EŞF03026,"999,50 TL"
yeni-urunler,ADX-00037472D33,6000002249272,ŞARDONLU FERMUARLI SWEATSHİRT H03024,"1.099,50 TL"
yeni-urunler,ADX-00037474D33,6000002249579,PAÇASI LASTİKLİ ŞARDONLU EŞOFMAN EŞF03026,"999,50 TL"
yeni-urunler,ADX-00037471D33,6000002249104,BELİ KORSELİ CROP SWEATSHİRT S11289,"649,50 TL"
yeni-urunler,ADX-00036736536,6000002235497,BAĞLAMALI UZUN KOLLU BLUZ B1892,"599,50 TL"
yeni-urunler,ADX-00037547536,6000002254016,AJURLU TRİKO KAZAK T10358,"699,50 TL"
yeni-urunler,ADX-00037016K204,6000002290656,PAÇASI AYARLANABİLİR LASTİKLİ EŞOFMAN EŞF10690,"899,50 TL"
yeni-urunler,ADX-0003747203,6000002249180,ŞARDONLU FERMUARLI SWEATSHİRT H03024,"1.099,50 TL"
yeni-urunler,ADX-0003747403,6000002249487,PAÇASI LASTİKLİ ŞARDONLU EŞOFMAN EŞF03026,"999,50 TL"
yeni-urunler,ADX-00037547B02,6000002254023,AJURLU TRİKO KAZAK T10358,"699,50 TL"
yeni-urunler,ADX-000379231236,6000002281821,KALIN ASKILI BAĞLAMALI BLUZ B261019,"999,50 TL"
yeni-urunler,ADX-00037658168,6000002262370,BİSİKLET YAKA AJURLU TRİKO T02689,"899,50 TL"
yeni-urunler,ADX-00031702D33,6000002255693,KAYIK YAKA TRİKO KAZAK K10237-A5,"599,50 TL"
yeni-urunler,ADX-0003549728,6000002288141,BASİC KALIN T-SHİRT P10493-W7,"399,50 TL"
yeni-urunler,ADX-0003772328,6000002266606,İNCE ASKILI ATLET A1963,"299,50 TL"
yeni-urunler,ADX-00037193Z16,6000002268389,KARELİ JOGGER PANTOLON PN18222,"999,50 TL"
yeni-urunler,ADX-0003754713,6000002254009,AJURLU TRİKO KAZAK T10358,"699,50 TL"
yeni-urunler,ADX-0003777213,6000002273086,UZUN KOLLU DÜĞMELİ MODAL GÖMLEK G8420,"899,50 TL"
yeni-urunler,ADX-00037723Z16,6000002266699,İNCE ASKILI ATLET A1963,"299,50 TL"
yeni-urunler,ADX-0003765828,6000002279828,BİSİKLET YAKA AJURLU TRİKO T02689,"899,50 TL"
yeni-urunler,ADX-00037325211,6000002238535,WİDE LEG JEAN PANTOLON PN10030,"899,50 TL"
yeni-urunler,ADX-00037818K78,6000002272560,KAYIK YAKA UZUN KOLLU BASİC T-SHİRT B06046,"649,50 TL"
yeni-urunler,ADX-00037723K204,6000002266682,İNCE ASKILI ATLET A1963,"299,50 TL"
yeni-urunler,ADX-00037836B62,6000002275530,KAPÜŞONLU FERMUARLI SWEATSHİRT H13348,"899,50 TL"
yeni-urunler,ADX-00037598D33,6000002257994,BELİ LASTİKLİ MODAL EŞOFMAN EŞF05037,"999,50 TL"
yeni-urunler,ADX-00037701D33,6000002265111,ŞARDONLU EŞOFMAN EŞF1011,"899,50 TL"
yeni-urunler,ADX-00037839K205,6000002275684,CEPLİ WİDE LEG JEAN PANTOLON PN1130,"1.099,50 TL"
yeni-urunler,ADX-00037719971,6000002279477,YANI FERMUARLI ÇİZGİLİ BLUZ P261129,"499,50 TL"
yeni-urunler,ADX-00037826K205,6000002273949,WİDE LEG JEAN PANTOLON PN1070,"999,50 TL"
yeni-urunler,ADX-0003809213,6000002292629,WİDE LEG JEAN PANTOLON PN119,"1.099,50 TL"
yeni-urunler,ADX-00037840221,6000002275806,WİDE LEG JEAN PANTOLON PN950,"1.099,50 TL"
yeni-urunler,ADX-0003781803,6000002272393,KAYIK YAKA UZUN KOLLU BASİC T-SHİRT B06046,"649,50 TL"
yeni-urunler,ADX-0003793928,6000002282989,KETEN KARIŞIMLI ŞORT Ş19008,"899,50 TL"
yeni-urunler,ADX-0003770128,6000002265067,ŞARDONLU EŞOFMAN EŞF1011,"899,50 TL"
yeni-urunler,ADX-00037598K78,6000002258052,BELİ LASTİKLİ MODAL EŞOFMAN EŞF05037,"999,50 TL"
yeni-urunler,ADX-00037840211,6000002275745,WİDE LEG JEAN PANTOLON PN950,"1.099,50 TL"
yeni-urunler,ADX-00037753C18,6000002268648,BASKILI T-SHİRT P9042,"349,50 TL"
yeni-urunler,ADX-00038003K204,6000002286536,BELİ LASTİKLİ EŞOFMAN EŞF10748,"749,50 TL"
yeni-urunler,ADX-00037925211,6000002281975,BAĞLAMA DETAYLI DENİM ŞORT Ş18630,"999,50 TL"
yeni-urunler,ADX-0003770103,6000002265036,ŞARDONLU EŞOFMAN EŞF1011,"899,50 TL"
yeni-urunler,ADX-00037772Z55,6000002278371,UZUN KOLLU DÜĞMELİ MODAL GÖMLEK G8420,"899,50 TL"
yeni-urunler,ADX-0003769611,6000002264824,TAŞ İŞLEMELİ ASİMETRİK KESİM BÜSTİYER A3083,"599,50 TL"
yeni-urunler,ADX-00037884B02,6000002280008,PAÇASI LASTİKLİ PANTOLON PN18503,"999,50 TL"
yeni-urunler,ADX-00037947B02,6000002283610,BASKILI T-SHİRT P10759,"419,50 TL"
yeni-urunler,ADX-00037053Z55,6000002220820,FERMUARLI ÇITÇIT KAPAMALI RUGAN CÜZDAN CZDN155,"329,50 TL"
yeni-urunler,ADX-0003786602,6000002278593,BOYUNDAN BAĞLAMALI DÜĞMELİ BLUZ A18600,"849,50 TL"
yeni-urunler,ADX-0003793402,6000002282606,KISA KOLLU MÜSLİN GÖMLEK G19007,"799,50 TL"
yeni-urunler,ADX-0003790302,6000002280879,TAŞLI BALON PANTOLON PN3604,"1.299,50 TL"
yeni-urunler,ADX-00037778B02,6000002269447,UZUN KOLLU GÖMLEK G02749,"899,50 TL"
yeni-urunler,ADX-00036196Z55,6000002222855,KARTLIK CÜZDAN CZDN149,"229,50 TL"
yeni-urunler,ADX-00037656B02,6000002262219,BELİ LASTİKLİ ASTARLI UZUN ETEK E18488,"899,50 TL"
yeni-urunler,ADX-0003695503,6000002214553,İSPANYOL PAÇA PANTOLON PN5112,"899,50 TL"
yeni-urunler,ADX-0003705313,6000002220806,FERMUARLI ÇITÇIT KAPAMALI RUGAN CÜZDAN CZDN155,"329,50 TL"
yeni-urunler,ADX-0003714303,6000002281418,KAYIK YAKA AJURLU TRİKO T2953,"579,50 TL"
yeni-urunler,ADX-00036016K204,6000002256362,ŞARDONLU FERMUARLI SWEATSHİRT H9476-1,"999,50 TL"
yeni-urunler,ADX-0003705303,6000002220790,FERMUARLI ÇITÇIT KAPAMALI RUGAN CÜZDAN CZDN155,"329,50 TL"
yeni-urunler,ADX-0003772303,6000002266576,İNCE ASKILI ATLET A1963,"299,50 TL"
yeni-urunler,ADX-0003786603,6000002278623,BOYUNDAN BAĞLAMALI DÜĞMELİ BLUZ A18600,"849,50 TL"
yeni-urunler,ADX-0003790603,6000002281081,BELİ LASTİKLİ UZUN ETEK E18621,"1.199,50 TL"
yeni-urunler,ADX-0003788603,6000002280084,YAKASI BAĞLAMALI MİNİ ELBİSE E02792,"1.499,50 TL"
yeni-urunler,ADX-0003797203,6000002284617,BELİ AYARLANABİLİR LASTİKLİ PANTOLON PN21864,"649,50 TL"
yeni-urunler,ADX-00037261Z86,6000002274540,YILDIZ TAŞLI JEAN PANTOLON PN1085,"1.399,50 TL"
yeni-urunler,ADX-00037778B60,6000002269478,UZUN KOLLU GÖMLEK G02749,"899,50 TL"
yeni-urunler,ADX-00036032k151,6000002274076,KEMERLİ JEAN PANTOLON PN254,"999,50 TL"
yeni-urunler,ADX-00037884B60,6000002280015,PAÇASI LASTİKLİ PANTOLON PN18503,"999,50 TL"
yeni-urunler,ADX-0003782858,6000002274793,BAGGY JEAN PANTOLON PN883,"1.199,50 TL"
yeni-urunler,ADX-00035497B62,6000002288264,BASİC KALIN T-SHİRT P10493-W7,"399,50 TL"
yeni-urunler,ADX-00037938B62,6000002282873,KAYIK YAKA BASKILI T-SHİRT P10756,"399,50 TL"
yeni-urunler,ADX-00035497221,6000002288110,BASİC KALIN T-SHİRT P10493-W7,"399,50 TL"
yeni-urunler,ADX-0003777828,6000002269416,UZUN KOLLU GÖMLEK G02749,"899,50 TL"
yeni-urunler,ADX-0003788428,6000002279958,PAÇASI LASTİKLİ PANTOLON PN18503,"999,50 TL"
yeni-urunler,ADX-00037938Z26,6000002282903,KAYIK YAKA BASKILI T-SHİRT P10756,"399,50 TL"
yeni-urunler,ADX-00037772Z16,6000002269102,UZUN KOLLU DÜĞMELİ MODAL GÖMLEK G8420,"899,50 TL"
yeni-urunler,ADX-00037533Z16,6000002279767,BASKILI T-SHİRT P10720,"379,50 TL"
yeni-urunler,ADX-00037860Z16,6000002278029,GÖĞÜS PEDLİ ASKILI ATLET A4025,"429,50 TL"
yeni-urunler,ADX-0003705332,6000002220813,FERMUARLI ÇITÇIT KAPAMALI RUGAN CÜZDAN CZDN155,"329,50 TL"
yeni-urunler,ADX-0003778332,6000002269782,KISA KOLLU BASİC T-SHİRT P4368-1,"329,50 TL"
yeni-urunler,ADX-0003790628,6000002281111,BELİ LASTİKLİ UZUN ETEK E18621,"1.199,50 TL"
yeni-urunler,ADX-0003777813,6000002269386,UZUN KOLLU GÖMLEK G02749,"899,50 TL"
yeni-urunler,ADX-00037996K78,6000002286055,BELİ BAĞLAMALI WİDE LEG PANTOLON PN19015,"999,50 TL"
yeni-urunler,ADX-00036978K78,6000002284730,YANI BÜZGÜLÜ T-SHİRT P1913,"379,50 TL"
yeni-urunler,ADX-00037877K78,6000002279637,BAĞLAMALI UZUN KOLLU BLUZ G18613,"999,50 TL"
yeni-urunler,ADX-00037906K78,6000002281142,BELİ LASTİKLİ UZUN ETEK E18621,"1.199,50 TL"
yeni-urunler,ADX-0003787743,6000002279606,BAĞLAMALI UZUN KOLLU BLUZ G18613,"999,50 TL"
yeni-urunler,ADX-0003799603,6000002285997,BELİ BAĞLAMALI WİDE LEG PANTOLON PN19015,"999,50 TL"
yeni-urunler,ADX-0003777226,6000002269065,UZUN KOLLU DÜĞMELİ MODAL GÖMLEK G8420,"899,50 TL"
yeni-urunler,ADX-0003790328,6000002280909,TAŞLI BALON PANTOLON PN3604,"1.299,50 TL"
yeni-urunler,ADX-0003799628,6000002286024,BELİ BAĞLAMALI WİDE LEG PANTOLON PN19015,"999,50 TL"
yeni-urunler,ADX-0003798603,6000002285355,YANDAN BAĞLAMALI GÖMLEK G4760,"649,50 TL"
yeni-urunler,ADX-00036901Z51,6000002270948,KAYIK YAKA BLUZ B0801,"349,50 TL"
yeni-urunler,ADX-0003694219,6000002260000,GÖĞÜS PEDLİ MODAL ATLET A01406,"399,50 TL"
yeni-urunler,ADX-00037591F19,6000002257284,ÇİZGİLİ KISA KOLLU T-SHİRT P05041,"579,50 TL"
yeni-urunler,ADX-0003759719,6000002257796,BİSİKLET YAKA BASİC T-SHİRT P05040,"449,50 TL"
yeni-urunler,ADX-00037591Z130,6000002257314,ÇİZGİLİ KISA KOLLU T-SHİRT P05041,"579,50 TL"
yeni-urunler,ADX-0003791419,6000002281944,DESENLİ SATEN ETEK E18627,"999,50 TL"
yeni-urunler,ADX-00037812B02,6000002271464,BİSİKLET YAKA KORSE DETAYLI BLUZ P10745,"499,50 TL"
yeni-urunler,ADX-00037591F17,6000002257369,ÇİZGİLİ KISA KOLLU T-SHİRT P05041,"579,50 TL"
yeni-urunler,ADX-0003759702,6000002257734,BİSİKLET YAKA BASİC T-SHİRT P05040,"449,50 TL"
yeni-urunler,ADX-0003740202,6000002244338,BÜZGÜLÜ BLUZ P19574,"149,50 TL"
yeni-urunler,ADX-00036032Z146,6000002274137,KEMERLİ JEAN PANTOLON PN254,"999,50 TL"
yeni-urunler,ADX-00037937C18,6000002282835,ÇİZGİLİ UZUN KOLLU T-SHİRT B10755,"549,50 TL"
yeni-urunler,ADX-00037597K204,6000002257857,BİSİKLET YAKA BASİC T-SHİRT P05040,"449,50 TL"
yeni-urunler,ADX-0003773628,6000002267481,MİNİ ŞORT ETEK E18569,"779,50 TL"
yeni-urunler,ADX-0003780203,6000002270924,AYARLANABİLİR DÜĞÜM DETAYLI ÇANTA Ç1077,"399,50 TL"
yeni-urunler,ADX-00034484Z16,6000002263834,KISA KOLLU BASİC T-SHİRT P1742-L10,"279,50 TL"
yeni-urunler,ADX-0003724503,6000002232335,SİMLİ KARTLIK CÜZDAN CZDN3008,"229,50 TL"
yeni-urunler,ADX-00037143B02,6000002281449,KAYIK YAKA AJURLU TRİKO T2953,"579,50 TL"
yeni-urunler,ADX-0003749403,6000002278326,ARKASI İŞLEMELİ EŞOFMAN EŞF19551,"799,50 TL"
yeni-urunler,ADX-0003798613,6000002285416,YANDAN BAĞLAMALI GÖMLEK G4760,"649,50 TL"
yeni-urunler,ADX-00037597K78,6000002257888,BİSİKLET YAKA BASİC T-SHİRT P05040,"449,50 TL"
yeni-urunler,ADX-00037597Z55,6000002257918,BİSİKLET YAKA BASİC T-SHİRT P05040,"449,50 TL"
yeni-urunler,ADX-00037774B60,6000002269232,BELİ LASTİKLİ KETEN ŞORT Ş18588,"899,50 TL"
yeni-urunler,ADX-00037599K204,6000002258120,KAYIK YAKA CROP T-SHİRT P05036,"649,50 TL"
yeni-urunler,ADX-00037812K204,6000002271495,BİSİKLET YAKA KORSE DETAYLI BLUZ P10745,"499,50 TL"
yeni-urunler,ADX-00037599D33,6000002258113,KAYIK YAKA CROP T-SHİRT P05036,"649,50 TL"
yeni-urunler,ADX-0003786028,6000002277947,GÖĞÜS PEDLİ ASKILI ATLET A4025,"429,50 TL"
yeni-urunler,ADX-00037863E22,6000002278449,BASKILI UZUN KOLLU T-SHİRT B10739,"549,50 TL"
yeni-urunler,ADX-0003781228,6000002271433,BİSİKLET YAKA KORSE DETAYLI BLUZ P10745,"499,50 TL"
