kategori,urun_id,barcode,urun_ismi,fiyat
yeni-urunler,ADX-00037772Z55,6000002278395,UZUN KOLLU DÜĞMELİ MODAL GÖMLEK G8420,"899,50 TL"
yeni-urunler,ADX-0003769611,6000002264848,TAŞ İŞLEMELİ ASİMETRİK KESİM BÜSTİYER A3083,"599,50 TL"
yeni-urunler,ADX-00037884B02,6000002280008,PAÇASI LASTİKLİ PANTOLON PN18503,"999,50 TL"
yeni-urunler,ADX-00037947B02,6000002283634,BASKILI T-SHİRT P10759,"419,50 TL"
yeni-urunler,ADX-00037053Z55,6000002220820,FERMUARLI ÇITÇIT KAPAMALI RUGAN CÜZDAN CZDN155,"329,50 TL"
yeni-urunler,ADX-0003786602,6000002278616,BOYUNDAN BAĞLAMALI DÜĞMELİ BLUZ A18600,"849,50 TL"
yeni-urunler,ADX-00037952B02,6000002283726,BASKILI UZUN KOLLU T-SHİRT B10763,"649,50 TL"
yeni-urunler,ADX-0003793402,6000002282606,KISA KOLLU MÜSLİN GÖMLEK G19007,"799,50 TL"
yeni-urunler,ADX-0003790302,6000002280893,TAŞLI BALON PANTOLON PN3604,"1.299,50 TL"
yeni-urunler,ADX-00037778B02,6000002269461,UZUN KOLLU GÖMLEK G02749,"899,50 TL"
yeni-urunler,ADX-00036196Z55,6000002222855,KARTLIK CÜZDAN CZDN149,"229,50 TL"
yeni-urunler,ADX-00037656B02,6000002262233,BELİ LASTİKLİ ASTARLI UZUN ETEK E18488,"899,50 TL"
yeni-urunler,ADX-0003695503,6000002214584,İSPANYOL PAÇA PANTOLON PN5112,"899,50 TL"
yeni-urunler,ADX-0003705313,6000002220806,FERMUARLI ÇITÇIT KAPAMALI RUGAN CÜZDAN CZDN155,"329,50 TL"
yeni-urunler,ADX-0003714303,6000002281418,KAYIK YAKA AJURLU TRİKO T2953,"579,50 TL"
yeni-urunler,ADX-00036016K204,6000002256362,ŞARDONLU FERMUARLI SWEATSHİRT H9476-1,"999,50 TL"
yeni-urunler,ADX-0003705303,6000002220790,FERMUARLI ÇITÇIT KAPAMALI RUGAN CÜZDAN CZDN155,"329,50 TL"
yeni-urunler,ADX-0003772303,6000002266590,İNCE ASKILI ATLET A1963,"299,50 TL"
yeni-urunler,ADX-0003786603,6000002278647,BOYUNDAN BAĞLAMALI DÜĞMELİ BLUZ A18600,"849,50 TL"
yeni-urunler,ADX-0003790603,6000002281098,BELİ LASTİKLİ UZUN ETEK E18621,"1.199,50 TL"
yeni-urunler,ADX-0003788603,6000002280107,YAKASI BAĞLAMALI MİNİ ELBİSE E02792,"1.499,50 TL"
yeni-urunler,ADX-0003797203,6000002284600,BELİ AYARLANABİLİR LASTİKLİ PANTOLON PN21864,"649,50 TL"
yeni-urunler,ADX-00037261Z86,6000002274540,YILDIZ TAŞLI JEAN PANTOLON PN1085,"1.399,50 TL"
yeni-urunler,ADX-00037778B60,6000002269485,UZUN KOLLU GÖMLEK G02749,"899,50 TL"
yeni-urunler,ADX-00036032k151,6000002274120,KEMERLİ JEAN PANTOLON PN254,"999,50 TL"
yeni-urunler,ADX-00037884B60,6000002280022,PAÇASI LASTİKLİ PANTOLON PN18503,"999,50 TL"
yeni-urunler,ADX-0003782858,6000002274847,BAGGY JEAN PANTOLON PN883,"1.199,50 TL"
