kategori,title,price,cart_discount_text,image_urls,product_url,product_id
erkek,Andy Kaz Tüyü Erkek Mont Siyah,"3.999,99","Sepette %10 İndirim 3.599,99 TL",https://witcdn.lufian.com/andy-kaz-tuyu-erkek-mont-siyah-9793-erkek-kaz-tuyu-mont-lufian-461976-97-B.jpg | https://witcdn.lufian.com/andy-kaz-tuyu-erkek-mont-siyah-9793-erkek-kaz-tuyu-mont-lufian-461977-97-B.jpg,https://www.lufian.com/andy-kaz-tuyu-erkek-mont-siyah-9793,9793
erkek,Storm Erkek Sweatshirt Saks,"1.299,99","Sepette %10 İndirim 1.169,99 TL",https://witcdn.lufian.com/storm-erkek-sweatshirt-saks-erkek-baskili-sweatshirt-lufian-459159-98-B.jpg | https://witcdn.lufian.com/storm-erkek-sweatshirt-saks-erkek-baskili-sweatshirt-lufian-459160-98-B.jpg,https://www.lufian.com/storm-erkek-sweatshirt-saks,9850
erkek,Tommy Erkek Sneaker Ayakkabı Siyah,"1.999,99",,https://witcdn.lufian.com/tommy-erkek-sneaker-ayakkabi-siyah-erkek-sneaker-lufian-468376-88-B.jpg | https://witcdn.lufian.com/tommy-erkek-sneaker-ayakkabi-siyah-erkek-sneaker-lufian-468377-88-B.jpg,https://www.lufian.com/tommy-erkek-sneaker-ayakkabi-siyah,8809
erkek,Luc Kaz Tüyü Erkek Mont Siyah,"3.999,99","Sepette %10 İndirim 3.599,99 TL",https://witcdn.lufian.com/luc-kaz-tuyu-erkek-mont-siyah-9700-erkek-kaz-tuyu-mont-lufian-462006-97-B.jpg | https://witcdn.lufian.com/luc-kaz-tuyu-erkek-mont-siyah-9700-erkek-kaz-tuyu-mont-lufian-462007-97-B.jpg,https://www.lufian.com/luc-kaz-tuyu-erkek-mont-siyah-9700,9700
erkek,Loved Erkek Sweatshirt Siyah,"999,99","Sepette %10 İndirim 899,99 TL",https://witcdn.lufian.com/loved-erkek-sweatshirt-siyah-9588-erkek-baskili-sweatshirt-lufian-459099-95-B.jpg | https://witcdn.lufian.com/loved-erkek-sweatshirt-siyah-9588-erkek-baskili-sweatshirt-lufian-459100-95-B.jpg,https://www.lufian.com/loved-erkek-sweatshirt-siyah-9588,9588
erkek,Oracle Erkek Sweatshirt Kırık Beyaz,"1.499,99","Sepette %10 İndirim 1.349,99 TL",https://witcdn.lufian.com/oracle-erkek-sweatshirt-kirik-beyaz-erkek-baskili-sweatshirt-lufian-459261-96-B.jpg | https://witcdn.lufian.com/oracle-erkek-sweatshirt-kirik-beyaz-erkek-baskili-sweatshirt-lufian-459262-96-B.jpg,https://www.lufian.com/oracle-erkek-sweatshirt-kirik-beyaz,9627
erkek,Carter Smart Erkek Polo Tişört Siyah,"999,99",,https://witcdn.lufian.com/carter-smart-erkek-polo-tisort-siyah-erkek-polo-yaka-tisort-lufian-468496-10-B.jpg | https://witcdn.lufian.com/carter-smart-erkek-polo-tisort-siyah-erkek-polo-yaka-tisort-lufian-468497-10-B.jpg,https://www.lufian.com/carter-smart-erkek-polo-tisort-siyah,10543
erkek,Carter Smart Erkek Polo Tişört Kırık Beyaz,"999,99",,https://witcdn.lufian.com/carter-smart-erkek-polo-tisort-kirik-beyaz-erkek-polo-yaka-tisort-lufian-468502-10-B.jpg | https://witcdn.lufian.com/carter-smart-erkek-polo-tisort-kirik-beyaz-erkek-polo-yaka-tisort-lufian-468503-10-B.jpg,https://www.lufian.com/carter-smart-erkek-polo-tisort-kirik-beyaz,10544
erkek,Laon Smart Erkek Polo Tişört Siyah,"999,99",,https://witcdn.lufian.com/laon-smart-erkek-polo-tisort-siyah-8822-erkek-polo-yaka-tisort-lufian-451989-88-B.jpg | https://witcdn.lufian.com/laon-smart-erkek-polo-tisort-siyah-8822-erkek-polo-yaka-tisort-lufian-451990-88-B.jpg,https://www.lufian.com/laon-smart-erkek-polo-tisort-siyah-8822,8822
erkek,Brady Smart Erkek Polo Tişört Haki,"1.299,99",,https://witcdn.lufian.com/brady-smart-erkek-polo-tisort-haki-erkek-polo-yaka-tisort-lufian-468814-10-B.jpg | https://witcdn.lufian.com/brady-smart-erkek-polo-tisort-haki-erkek-polo-yaka-tisort-lufian-468815-10-B.jpg,https://www.lufian.com/brady-smart-erkek-polo-tisort-haki,10577
